Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.brucei RNA Seq data from George Cross - procyclic form - nonunique (Tb PCF BSF RSeq)	T.brucei RNA Seq data from George Cross - blood form - nonunique (Tb PCF BSF RSeq)	sense - PCF mRNA	sense - slBF mRNA	sense - cBF mRNA	sense - PF mRNA	sense - BF mRNA	
Tb927.1.630	Tb927.1.630:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:219,177..220,397(-)	histone chaperone ASF1A	14.67	16.17	9.8	11.46	15.81	12.75	24.26	
Tb927.1.640	Tb927.1.640:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:220,523..225,689(-)	BRCA2	30.81	32.61	9.05	19.4	17.57	9.56	26.37	
Tb927.1.650	Tb927.1.650:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:226,021..226,665(-)	conserved protein, unknown function	6.48	13.52	16.6	20.37	33.63	9.21	21.24	
Tb927.1.670	Tb927.1.670:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:228,043..230,110(-)	conserved protein, unknown function	22.9	9.55	5.52	9.61	7.8	6.61	13.88	
Tb927.1.690	Tb927.1.690:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:230,314..231,528(-)	hypothetical protein, conserved	10.81	8.6	13	17.94	10.76	6.94	14.48	
Tb927.1.70	Tb927.1.70:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:44,937..47,043(-)	retrotransposon hot spot protein 4 (RHS4), putative	12.66	17.32	4.15	5.94	23.58	7.94	15.91	
Tb927.1.700	Tb927.1.700:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:231,710..233,904(-)	phosphoglycerate kinase	69.66	166.67	114.47	138.13	177.5	76.73	93.6	
Tb927.1.710	Tb927.1.710:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:234,043..235,553(-)	phosphoglycerate kinase	109.66	117.54	206.29	91.49	134.83	118.84	69.17	
Tb927.1.720	Tb927.1.720:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:235,665..237,504(-)	phosphoglycerate kinase	67.59	78.55	90.75	62.48	88.96	68.02	50.91	
Tb927.1.730	Tb927.1.730:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:237,632..239,558(-)	NADH-ubiquinone oxidoreductase complex I subunit, putative	22.82	15.01	19.57	14.67	17.03	15.62	21.81	
Tb927.1.740	Tb927.1.740:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:240,378..241,710(-)	phosphatidylinositol-4-phosphate 5-kinase related	16.87	15.24	8.18	7.52	10.77	10.12	15.97	
Tb927.1.750	Tb927.1.750:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:241,929..245,989(-)	Metal-binding domain-containing protein	22.49	15.35	10.53	30.47	18.05	7.1	9.76	
Tb927.1.760	Tb927.1.760:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:246,097..249,006(-)	wd40 repeat domain-containing protein	8.41	8.84	4.06	7.35	8.28	5.92	11.2	
Tb927.1.780	Tb927.1.780:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:249,194..250,618(-)	leucine-rich repeat-containing protein	9.36	10.55	10.12	15.94	16.84	4.75	20.92	
Tb927.1.790	Tb927.1.790:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:250,982..253,518(-)	hypothetical transmembrane protein, conserved	8.31	5.07	7.26	6.07	9.46	7.91	12.11	
Tb927.1.800	Tb927.1.800:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:253,691..254,102(-)	hypothetical transmembrane protein	1.45	2.51	4.06	7.02	3.21	3.02	8.09	
Tb927.1.820	Tb927.1.820:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:254,295..256,475(-)	kelch domain-containing protein	10.77	9.84	5.66	8.41	8.23	8.09	11.97	
Tb927.1.830	Tb927.1.830.1:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:256,601..259,712(-)	hypothetical protein, conserved	14.07	12.17	8.74	9.54	12.82	6.94	12.38	
Tb927.1.830	Tb927.1.830.2:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:256,601..259,712(-)	hypothetical protein, conserved	14.07	12.17	8.74	9.54	12.82	6.94	12.38	
Tb927.1.840	Tb927.1.840:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:259,833..260,630(-)	transmembrane protein, putative	6.73	6.9	12.34	11.72	14.48	8.33	25.99	
Tb927.1.860	Tb927.1.860:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:260,762..262,198(-)	transmembrane protein, putative	47.64	45.13	37	31.16	45.67	22.83	49.35	
Tb927.1.870	Tb927.1.870:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:262,187..263,802(-)	deoxyhypusine synthase	18.72	14.13	10.26	8.37	15.78	14.52	20.39	
Tb927.1.880	Tb927.1.880:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:264,384..278,165(-)	Midasin, putative	11.1	3.41	3.59	3.55	3.79	6.94	7.15	
Tb927.1.890	Tb927.1.890:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:278,300..279,226(-)	hypothetical protein, conserved	18.25	23.4	28.47	30.56	71.39	22.53	39.55	
Tb927.1.90	Tb927.1.90:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_01_v5.1:50,428..52,253(-)	retrotransposon hot spot protein (RHS, pseudogene), putative	27.9	41.86	11.97	16.18	48.58	15.69	43.09	
Tb927.1.990	Tb927.1.990:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1:288,568..289,706(+)	Enkuring domain-containig protein	11.36	18.84	27.45	21.49	32.98	10.75	33	
Tb927.10.10	Tb927.10.10:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:1,486..2,862(-)	variant surface glycoprotein VSG 10.1	0	0	0	3.84	0.02	0	0	
Tb927.10.100	Tb927.10.100:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_10_v5.1:48,468..49,844(-)	expression site-associated gene 2 (ESAG2), degenerate	1.59	4.08	0.58	13.9	12.01	3.26	10.89	
Tb927.10.1000	Tb927.10.1000:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:273,058..273,858(+)	hypothetical protein	20.12	15.33	5.82	7.68	7.5	2.8	13.87	
Tb927.10.10000	Tb927.10.10000:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,466,189..2,468,569(+)	hypothetical protein, conserved	54.74	38.95	53.25	14.53	22.89	87.6	56.69	
Tb927.10.10010	Tb927.10.10010:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,468,670..2,469,421(+)	mRNA turnover protein 4 homolog, putative	28.05	18.93	19.33	16.08	20.39	15.96	22.9	
Tb927.10.10020	Tb927.10.10020:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,469,725..2,472,329(+)	Rab5 GDP/GTP exchange factor (Rabex-5), putative	5.42	4.63	3.39	9.46	5.71	4.48	9.45	
Tb927.10.10030	Tb927.10.10030:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,472,479..2,472,886(+)	hypothetical protein, conserved	17.56	16.88	19.25	15.89	28.09	12.01	39.94	
Tb927.10.10040	Tb927.10.10040:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,473,344..2,474,353(+)	hypothetical protein	5.52	5.11	3.86	5.24	4.34	5.71	10.08	
Tb927.10.10050	Tb927.10.10050:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,474,041..2,479,372(+)	hypothetical protein, conserved	16.42	10.89	5.46	10.74	6.71	6.33	16.77	
Tb927.10.10070	Tb927.10.10070:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,481,212..2,483,861(+)	hypothetical protein, conserved	8.56	7.06	6.67	7.46	9.57	6.61	10.13	
Tb927.10.10080	Tb927.10.10080:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,484,217..2,484,672(+)	hypothetical protein, conserved	22.26	17.87	27.99	32.14	33.37	17.48	25.99	
Tb927.10.10090	Tb927.10.10090:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,485,280..2,488,960(+)	Component of motile flagella 14	8.7	7.39	5.5	7.38	9.59	6.48	14.03	
Tb927.10.1010	Tb927.10.1010:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:275,417..276,170(+)	hypothetical protein	0	0.15	0.31	0.57	0.24	0.06	0.74	
Tb927.10.10100	Tb927.10.10100:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,489,064..2,492,083(+)	hypothetical protein, conserved	11.99	11.06	4.73	10.07	11.08	4.45	10.97	
Tb927.10.10110	Tb927.10.10110:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,492,228..2,492,796(+)	PIG-P, putative	9.44	10.49	11.43	12.4	20.73	23.5	36.12	
Tb927.10.10120	Tb927.10.10120:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,492,915..2,494,815(+)	hypothetical protein, conserved	18.53	15.76	13.68	12.04	21.57	16.99	16.46	
Tb927.10.10130	Tb927.10.10130:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,494,981..2,496,793(+)	RNA editing mediator complex protein 1	18	17.22	17.52	17.18	23.93	14.64	27.98	
Tb927.10.10140	Tb927.10.10140:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,496,968..2,498,264(+)	paraflagellar rod component, putative	55.08	98.5	52.34	94.53	98.37	19.27	49.82	
Tb927.10.10150	Tb927.10.10150:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,498,411..2,500,811(+)	hypothetical protein, conserved	7.54	8.08	3.98	6.96	9.04	4.74	9.02	
Tb927.10.10160	Tb927.10.10160:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,500,994..2,502,187(+)	Kinetoplast polyadenylation factor 4	14.67	17.59	14.04	21.92	19.48	11.27	27.45	
Tb927.10.10170	Tb927.10.10170:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,502,312..2,503,704(+)	pre-mRNA splicing factor 46, putative	16.57	15.49	13.03	17.88	23.41	13.18	20.47	
Tb927.10.10180	Tb927.10.10180:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,503,893..2,504,976(+)	Miro-like protein, putative	10.83	9.32	7.77	13.36	13.93	12.33	14.35	
Tb927.10.10190	Tb927.10.10190:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,505,108..2,508,146(+)	Leucine-rich repeat domain containing protein	13.82	11.56	4.67	12.21	8.24	3.85	11.94	
Tb927.10.1020	Tb927.10.1020:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:276,184..278,935(+)	hypothetical protein	5.28	3.17	0.08	0.29	0.19	0.02	0.13	
Tb927.10.10200	Tb927.10.10200:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,508,338..2,510,002(+)	hypothetical protein, conserved	5.86	7.93	7.44	13.58	13.07	3.54	7.01	
Tb927.10.10210	Tb927.10.10210:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,510,573..2,512,823(-)	procyclin-associated gene 4 (PAG4) protein	0.71	0.31	0.15	0.09	0.69	5.9	1.56	
Tb927.10.10220	Tb927.10.10220:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,512,930..2,514,152(-)	procyclin-associated gene 2 (PAG2) protein	2.12	0.47	0.25	0.08	1.25	7.57	5.45	
Tb927.10.10230	Tb927.10.10230:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,514,260..2,515,375(-)	procyclin-associated gene 5 (PAG5) protein	3.03	0.62	0.48	0.22	0.89	12.35	2.32	
Tb927.10.10240	Tb927.10.10240:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,515,454..2,517,926(-)	procyclin-associated gene 1 (PAG1) protein	4.99	1.25	8.36	2.63	4.73	22.48	4.72	
Tb927.10.10250	Tb927.10.10250:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,518,065..2,518,785(-)	EP2 procyclin	1765.33	6.21	1454.83	11.86	90.73	430.68	13.61	
Tb927.10.10260	Tb927.10.10260:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,519,388..2,520,140(-)	EP1 procyclin	3130.34	14.94	2950.76	20.1	173.9	1201.73	31.97	
Tb927.10.10270	Tb927.10.10270:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,520,244..2,523,745(-)	hypothetical protein	2.1	1.28	1.91	2.78	2.44	2.57	4.34	
Tb927.10.10280	Tb927.10.10280:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,524,258..2,531,866(-)	microtubule-associated protein, putative	4.47	4.47	3.04	6.18	3	5.2	6.59	
Tb927.10.10290	Tb927.10.10290:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,532,117..2,532,729(-)	hypothetical protein, conserved	71.42	41.38	91.3	79.27	87.69	50.94	59.2	
Tb927.10.1030	Tb927.10.1030:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:278,920..280,553(-)	serine peptidase, Clan SC, Family S10	42.99	114.64	106.19	138.73	318.97	33.9	82.83	
Tb927.10.10300	Tb927.10.10300:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,532,915..2,535,125(-)	hypothetical protein, conserved	7.2	6.13	11.13	13.11	12.04	5.77	10.55	
Tb927.10.10310	Tb927.10.10310:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,535,237..2,536,967(-)	hypothetical protein, conserved	16.78	10.81	15.17	14.12	11.75	11.83	13.69	
Tb927.10.10320	Tb927.10.10320:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,537,407..2,537,840(-)	dynein light chain Tctex-type, putative	22.93	31.74	23.63	28.15	46.92	15.21	44.8	
Tb927.10.10330	Tb927.10.10330:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,537,986..2,539,782(-)	Anaphase-promoting complex subunit CDC27	19.49	12.46	14.8	22.46	22.13	11.92	15.87	
Tb927.10.10340	Tb927.10.10340:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,540,513..2,544,047(-)	structural maintenance of chromosome 2, putative	17.51	14.61	7.8	12.83	11.5	6.32	10.95	
Tb927.10.10350	Tb927.10.10350:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,544,218..2,547,980(-)	STE/STE11 serine/threonine-protein kinase, putative	8.25	7.47	2.69	6.54	3.61	4.05	10.38	
Tb927.10.10360	Tb927.10.10360:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,548,492..2,558,648(-)	Microtubule-associated repetitive protein	3.25	3.01	2.02	4.22	2.11	3.84	4.89	
Tb927.10.10370	Tb927.10.10370:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,558,722..2,559,473(-)	hypothetical protein, conserved	84.42	51.44	90.24	82.39	100.6	64.77	69.68	
Tb927.10.10380	Tb927.10.10380:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,559,766..2,561,473(-)	ATP-dependent DEAD/H RNA helicase, putative	13.63	19.76	11.75	16.33	19.78	11.4	21.79	
Tb927.10.10390	Tb927.10.10390:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,562,282..2,563,871(-)	trypanothione reductase	63.83	60.57	57.5	51.43	59.52	26.09	23.17	
Tb927.10.1040	Tb927.10.1040:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:280,857..282,269(-)	serine peptidase, Clan SC, Family S10	51.69	165.22	102.08	169.45	422.48	39.06	107.58	
Tb927.10.10400	Tb927.10.10400:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,563,993..2,565,148(-)	Mitochondrial ribosomal protein S11	10.16	12.31	15.66	16.16	16.82	12.93	23.22	
Tb927.10.10410	Tb927.10.10410:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,565,451..2,567,591(-)	DNA replication licensing factor MCM8, putative	15.52	15.17	15.94	14.28	17.07	7.87	13.84	
Tb927.10.10420	Tb927.10.10420:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,567,695..2,568,301(-)	monothiol glutaredoxin, putative	25.24	15.32	50.47	28.34	42.39	25.72	27.76	
Tb927.10.10430	Tb927.10.10430:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,568,505..2,569,588(-)	hypothetical protein, conserved	11.57	14.29	11.92	12.08	13.61	14.82	13.32	
Tb927.10.10440	Tb927.10.10440:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,569,606..2,571,211(-)	mitochondrial carrier protein	7.43	9.29	5.47	8.52	9.46	12.95	12.57	
Tb927.10.10445	Tb927.10.10445:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,571,305..2,571,705(-)	Core histone H2A/H2B/H3/H4, putative	84.36	74.99	87.25	90.25	115.01	14.5	111.28	
Tb927.10.10460	Tb927.10.10460:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,571,897..2,572,608(-)	histone H2B, putative	34.38	90.76	107.26	130.12	68.54	207.45	174.23	
Tb927.10.10470	Tb927.10.10470:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,572,800..2,573,516(-)	histone H2B, putative	215.37	355.23	111.56	144.72	216.68	230.62	314.79	
Tb927.10.10480	Tb927.10.10480:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,573,708..2,574,424(-)	histone H2B, putative	153.2	266.38	64.08	90.25	133.36	108.88	193.16	
Tb927.10.10490	Tb927.10.10490:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,574,565..2,575,332(-)	histone H2B, putative	203.4	335.67	115.41	142.4	214.65	237.85	317.99	
Tb927.10.1050	Tb927.10.1050:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:282,405..284,360(-)	serine peptidase, Clan SC, Family S10	33.27	106.92	62.17	105.95	263.66	29.36	85.19	
Tb927.10.10500	Tb927.10.10500:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,575,473..2,576,235(-)	histone H2B, putative	81.11	131.03	99.47	112.95	140.88	208.93	237.57	
Tb927.10.10510	Tb927.10.10510:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,576,427..2,578,051(-)	histone H2B, putative	149.28	268.2	147.98	177.4	164.47	222.67	271.18	
Tb927.10.10520	Tb927.10.10520:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,577,284..2,578,954(-)	histone H2B, putative	103.73	181.07	128.28	149.13	126.26	176.56	222.05	
Tb927.10.10530	Tb927.10.10530:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,579,095..2,579,857(-)	histone H2B, putative	145.53	170.74	153.9	165.66	174.21	110.15	233.2	
Tb927.10.10540	Tb927.10.10540:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,580,372..2,580,765(-)	histone H2B, putative	224.76	233.06	122.81	144.12	219.45	30.67	195.96	
Tb927.10.10550	Tb927.10.10550:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,580,957..2,581,673(-)	histone H2B, putative	211.21	350.58	164.66	201.81	209.68	246.19	320.47	
Tb927.10.10560	Tb927.10.10560:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,582,188..2,582,581(-)	histone H2B, putative	224.76	233.06	122.81	144.12	219.45	30.67	195.96	
Tb927.10.10570	Tb927.10.10570:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,582,773..2,583,489(-)	histone H2B, putative	123.78	251.81	157.38	190.46	148	233.4	264.17	
Tb927.10.10580	Tb927.10.10580:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,583,630..2,584,392(-)	histone H2B, putative	157.27	211.21	138.83	159.17	183.54	202.34	258.2	
Tb927.10.10590	Tb927.10.10590:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,584,533..2,585,300(-)	histone H2B, putative	216.1	374.38	135.7	164.28	241.84	288.29	381.4	
Tb927.10.1060	Tb927.10.1060:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:285,302..287,520(-)	T-complex protein 1, delta subunit, putative	54.35	66.05	34.54	24.2	44.18	36.58	50.15	
Tb927.10.10600	Tb927.10.10600:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,585,492..2,586,025(-)	ARP2/3 complex 16kDa subunit, putative	12.3	9.46	18.31	9.83	18.04	5.21	36.75	
Tb927.10.10610	Tb927.10.10610:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,586,261..2,587,759(-)	protein tyrosine phosphatase, putative	60.01	51.76	36.72	20.46	42.11	38.53	57.31	
Tb927.10.10620	Tb927.10.10620:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,587,917..2,588,889(-)	hypothetical protein, conserved	15.54	17.22	13	19.68	19.77	15.53	19.22	
Tb927.10.10630	Tb927.10.10630:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,589,044..2,590,051(-)	hypothetical protein, conserved	13.23	15.37	16.09	21.9	23.02	18.99	26.82	
Tb927.10.10640	Tb927.10.10640:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,590,192..2,590,603(-)	hypothetical protein, conserved	6.76	9.47	29.55	17.62	30.83	52.91	56.18	
Tb927.10.10650	Tb927.10.10650:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,590,706..2,592,407(-)	cytosolic Fe-S cluster assembly factor NAR1, putative	12.98	13.96	10.95	16.75	16.88	10.25	21	
Tb927.10.10670	Tb927.10.10670:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,592,563..2,595,173(-)	kinetoplastid-specific dual specificity phosphatase, putative	5.79	12.62	16.44	14.04	12.05	14.3	16.31	
Tb927.10.10680	Tb927.10.10680:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,595,567..2,598,555(-)	hypothetical protein, conserved	5.39	4.22	3.4	4.94	5.29	5.18	7.31	
Tb927.10.10690	Tb927.10.10690:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,599,400..2,600,583(-)	CEP19-like protein, putative	7.4	6.98	6.46	10.13	11.34	7.08	10.79	
Tb927.10.1070	Tb927.10.1070:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:287,734..289,698(-)	cdc2-related kinase 1	8.1	8.41	6.41	8.59	8.19	14.26	19.22	
Tb927.10.10700	Tb927.10.10700:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,601,059..2,602,136(-)	splicing factor Prp31	10.71	15.23	21.26	15.44	18.65	10.67	17.69	
Tb927.10.10710	Tb927.10.10710:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,602,266..2,603,669(-)	hypothetical protein, conserved	17.72	14.39	11.66	17.63	15.03	11.45	25.45	
Tb927.10.10720	Tb927.10.10720:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,603,807..2,605,463(-)	Tetraspanin family, putative	19.46	26.67	17.69	33.47	31.7	19	43.8	
Tb927.10.10730	Tb927.10.10730:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,605,764..2,610,316(-)	RNA Interference Factor 5	13.16	6.66	6.83	10.21	8	9.21	12.08	
Tb927.10.10740	Tb927.10.10740:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,611,259..2,612,979(-)	hypothetical protein, conserved	9.25	5.8	7	7.74	6.95	7.89	9.47	
Tb927.10.10750	Tb927.10.10750:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,613,107..2,619,143(-)	metallo-peptidase, Clan MC, Family M14, putative	13.78	9.73	8.01	10.95	12.58	8.96	14.38	
Tb927.10.10770	Tb927.10.10770:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,619,797..2,621,735(-)	Generative cell specific 1 protein, putative	28.74	31.14	17.09	18.76	10.2	6.87	8.12	
Tb927.10.10780	Tb927.10.10780:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,622,292..2,622,965(-)	hypothetical protein, conserved	17.72	20.44	21.11	18.3	31.71	12.88	35.71	
Tb927.10.10790	Tb927.10.10790:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,622,996..2,623,451(-)	hypothetical protein	5.67	6.04	5.81	6.65	7.21	30.05	25.58	
Tb927.10.1080	Tb927.10.1080:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:289,917..290,469(-)	40S ribosomal protein S23, putative	519.27	580.75	1158.32	606.2	801.14	781.91	920.41	
Tb927.10.10800	Tb927.10.10800:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,623,580..2,625,065(-)	palmitoyl acyltransferase 2, putative	15.4	9.19	8.76	7.53	8.64	7.96	10.72	
Tb927.10.10810	Tb927.10.10810:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,626,943..2,628,853(-)	adenosine deaminase-like protein	8.02	6.19	4.98	6.08	7.12	4.78	5.33	
Tb927.10.10820	Tb927.10.10820:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,629,064..2,630,111(-)	hypothetical protein, conserved	27.15	14.35	18.35	14.63	21.16	29.84	35.86	
Tb927.10.10830	Tb927.10.10830:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,630,233..2,631,537(-)	RGG-containing protein 2	27.14	12.67	13.45	7.96	12.06	27.49	25.54	
Tb927.10.10840	Tb927.10.10840:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,633,043..2,634,775(-)	Enriched in surface-labeled proteome protein 15	19.06	16.43	5.36	10.17	12.72	7.98	23.08	
Tb927.10.10850	Tb927.10.10850:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,634,905..2,638,291(-)	Protein argonaute-1	19.68	12.23	6.37	7.22	12.77	16.77	24.22	
Tb927.10.10870	Tb927.10.10870:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,650,320..2,652,172(-)	CMGC family protein kinase, putative	5.26	6.75	4.61	9.19	9.47	6.14	10.69	
Tb927.10.10880	Tb927.10.10880:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,652,378..2,654,527(-)	ATP-binding cassette sub-family F member 1, putative	22.12	19.86	8.63	13.78	17.24	11.01	19.63	
Tb927.10.10890	Tb927.10.10890:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,654,810..2,657,259(-)	heat shock protein, putative	836.85	345.7	340.01	155.06	222.38	199.64	319.45	
Tb927.10.1090	Tb927.10.1090:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:290,668..291,297(-)	40S ribosomal protein S23, putative	491.18	560.42	1182.68	603.2	820.9	1014.45	927.24	
Tb927.10.10900	Tb927.10.10900:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,657,585..2,660,034(-)	heat shock protein, putative	836.93	345.93	340.4	155.16	222.75	200.13	321.79	
Tb927.10.10910	Tb927.10.10910:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,660,359..2,662,808(-)	heat shock protein, putative	825.24	342.98	335.88	153.01	219.62	197.35	319.67	
Tb927.10.10920	Tb927.10.10920:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,663,109..2,665,557(-)	heat shock protein, putative	821.59	339.84	339.65	154.42	221.16	198.86	317.99	
Tb927.10.10930	Tb927.10.10930:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,665,888..2,668,337(-)	heat shock protein, putative	795.35	334.5	330.56	150.02	212.48	193.78	310.23	
Tb927.10.10940	Tb927.10.10940:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,668,673..2,671,122(-)	heat shock protein, putative	822.15	342.75	340.25	155.04	219.2	196.73	315.52	
Tb927.10.10950	Tb927.10.10950:mRNA	T. brucei brucei TREU927	Tb927_10_v5.1:2,671,444..2,673,893(-)	heat shock protein, putative	826.62	345.98	339.91	154.46	220.45	197.71	317.03	
