2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,BS RNAs/ cell Silicotryp ,Log 2 BS RNAs/ cell Silicotryp ,RPM pA+ fragments BS,BS RNAs/cell pA+ fragments ,Log 2 BS RNAs/cell pA+ fragments ,RPM Ribosome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb BS,Fraction in polysomes,mRNA abundance BS/PC (Silicotryp),"ribosomes/kb, BS/PC"
Tb927.4.2440,"hypothetical protein, very weak match to yeast ribosomal protein RSM23",Mito.pathway,1,1155,1.1,0.14,92.87,1.86,0.89,29.36,29.36,2.57,2.34,2.03,0.685,0.9,0.971
Tb927.5.500,in situ HA-tagged protein colocalizes with mitochondrion (TRitrypDB comment),Mito.pathway,1,4212,2.6,1.36,173.26,3.47,1.79,508.24,508.24,44.57,17.33,4.11,0.776,4.88,0.358
Tb927.8.7170,"inositol polyphosphate 1-phosphatase, putative",Mito.pathway,1,1173,1.3,0.42,163.46,3.27,1.71,165.91,165.91,14.55,10.91,9.3,0.742,0.62,1.748
Tb927.5.3350,"iron superoxide dismutase, putative",Mito.pathway,3,717,4.3,2.12,111.23,6.67,2.74,230.89,692.67,60.75,13.97,19.48,0.823,1.08,0.717
Tb927.9.11720,iron-sulfur cluster assembly protein ISCU,Mito.pathway,1,543,6.8,2.77,108.70,2.17,1.12,150.08,150.08,13.16,1.93,3.55,0.825,2.05,0.868
Tb927.10.12000,"iron-sulfur cluster assembly protein, ISD11, needed foraconitatase, fumarase &  thiolation of mitochodrial and cytosolic tRNA",Mito.pathway,1,300,3.3,1.71,31.34,0.63,-0.67,35.77,35.77,3.14,0.96,3.2,0.752,1.28,0.716
Tb927.9.14600,"iron/ascorbate oxidoreductase family protein, putative",Mito.pathway,6,984,1.9,0.94,0.05,0.01,-7.38,0.00,0,0,0,0,#DIV/0!,0,0
Tb927.8.5540,ISA1 mitochondrial Iron-Sulfur cluster biosynthesis,Mito.pathway,1,819,1.5,0.58,88.11,1.76,0.82,45.81,45.81,4.02,2.68,3.27,0.712,0.67,0.228
Tb927.6.2790,"L-threonine 3-dehydrogenase, putative",Mito.pathway,1,999,5.0,2.32,375.27,7.51,2.91,759.16,759.16,66.58,13.37,13.38,0.821,0.25,0.863
Tb927.8.630,"lipoate-protein ligase, lipoyltransferase, lipoate biosynthesis protein, putative",Mito.pathway,1,1539,0.7,-0.49,108.34,2.17,1.12,11.39,11.39,1,1.4,0.91,0.604,0.7,1.046
Tb927.11.9390,"lipoate-protein ligase, putative,lipoyltransferase, putative",Mito.pathway,1,798,1.3,0.38,61.85,1.24,0.31,11.38,11.38,1,0.77,0.96,0.539,0.88,1.055
Tb927.9.9840,"lipoic acid containing carrier protein, putative",Mito.pathway,1,417,8.7,3.12,177.51,3.55,1.83,160.59,160.59,14.08,1.63,3.91,0.681,0.82,0.825
Tb927.11.15470,methionyl-tRNA formyltransferase,Mito.pathway,1,1956,1.0,-0.06,134.04,2.68,1.42,34.35,34.35,3.01,3.14,1.61,0.678,1.24,0.752
Tb927.10.5050,"Mitochondrial ATP synthase epsilon subunit, putative",Mito.pathway,1,228,5.8,2.53,66.24,1.32,0.41,89.67,89.67,7.86,1.36,5.96,0.656,0.55,0.578
Tb927.8.3320,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,1207,1.1,0.17,96.68,1.93,0.95,20.91,20.91,1.83,1.63,1.35,0.667,1.35,0.6
Tb927.2.3610,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,435,3.8,1.92,93.17,1.86,0.90,152.22,152.22,13.35,3.54,8.14,0.773,0.71,0.579
Tb927.11.1270,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,510,3.1,1.61,124.63,2.49,1.32,164.29,164.29,14.41,4.72,9.25,0.722,0.23,1.637
Tb927.5.2930,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,1113,4.4,2.12,343.08,6.86,2.78,347.46,347.46,30.47,7,6.29,0.721,0.46,0.94
Tb927.5.3090,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,306,7.0,2.81,115.71,2.31,1.21,185.76,185.76,16.29,2.32,7.58,0.732,0.71,0.85
Tb927.10.8030,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,768,2.2,1.11,95.71,1.91,0.94,227.61,227.61,19.96,9.27,12.07,0.78,0.42,0.93
Tb927.11.6250,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,810,2.4,1.26,124.05,2.48,1.31,123.25,123.25,10.81,4.5,5.56,0.772,0.18,1.437
Tb927.3.1690,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,438,3.1,1.65,78.86,1.58,0.66,152.60,152.6,13.38,4.25,9.7,0.75,0.35,1.035
Tb927.10.520,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,1191,3.3,1.72,165.00,3.30,1.72,337.51,337.51,29.6,8.96,7.52,0.816,0.75,0.463
Tb927.3.2180,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,471,3.8,1.92,175.22,3.50,1.81,232.45,232.45,20.39,5.37,11.4,0.803,0.5,0.992
Tb927.7.840,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,375,2.5,1.34,119.39,2.39,1.26,157.14,157.14,13.78,5.43,14.48,0.721,0.27,1.72
Tb927.4.3450,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,345,4.5,2.16,133.47,2.67,1.42,122.58,122.58,10.75,2.41,6.99,0.733,0.32,1.294
Tb927.3.2880,"Mitochondrial ATP synthase subunit, putative",Mito.pathway,1,315,2.8,1.48,36.38,0.73,-0.46,51.21,51.21,4.49,1.61,5.11,0.715,0.66,0.528
Tb927.4.3300,"mitochondrial ATP-dependent zinc metallopeptidase, putative",Mito.pathway,2,2160,1.6,0.64,170.49,6.82,2.77,101.61,203.22,17.82,11.47,5.31,0.642,0.97,0.67
Tb927.10.7620,"mitochondrial ATP-dependent zinc metallopeptidase, putative,metallo-peptidase, Clan MA(E) Family M41",Mito.pathway,2,1974,1.2,0.32,128.33,5.13,2.36,182.64,365.28,32.04,25.75,13.04,0.771,0.95,0.744
Tb927.8.1850,mitochondrial calcium uptake 1 MICU1,Mito.pathway,1,1233,1.5,0.62,132.16,2.64,1.40,83.98,83.98,7.37,4.8,3.89,0.74,1.03,1.319
Tb927.7.7080,mitochondrial glycoprotein-like protein,Mito.pathway,1,1119,1.7,0.74,117.60,2.35,1.23,45.79,45.79,4.02,2.4,2.14,0.724,1.6,0.583
Tb927.11.16990,Mitochondrial LSU-associated,Mito.pathway,1,1968,1.2,0.29,183.46,3.67,1.88,30.72,30.72,2.69,2.21,1.12,0.715,1.94,1.047
Tb927.11.8040,Mitochondrial LSU-associated,Mito.pathway,1,558,3.4,1.75,92.97,1.86,0.89,32.56,32.56,2.86,0.85,1.52,0.482,1.12,0.444
Tb927.11.5530,Mitochondrial LSU-associated,Mito.pathway,1,789,1.0,0.02,77.02,1.54,0.62,42.42,42.42,3.72,3.67,4.65,0.618,0.63,1.703
Tb927.10.9860,"Mitochondrial N(5)-glutamine methyltransferase MTQ1, putative",Mito.pathway,1,1263,0.8,-0.38,116.68,2.33,1.22,27.37,27.37,2.4,3.13,2.48,0.588,0.76,1.467
Tb927.7.3520,mitochondrial pyruvate carrier-like protein,Mito.pathway,1,405,1.8,0.87,85.77,1.72,0.78,89.91,89.91,7.89,4.31,10.64,0.75,0.34,1.488
Tb927.6.2180,Mitochondrial SSU-associated,Mito.pathway,1,519,0.7,-0.56,17.53,0.35,-1.51,32.11,32.11,2.82,4.16,8.02,0.754,0.47,1.296
Tb927.7.5820,"Monooxygenase, putative",Mito.pathway,1,1548,0.9,-0.07,106.50,2.13,1.09,61.93,61.93,5.43,5.72,3.7,0.706,0.72,0.713
Tb927.11.6320,MRB1-associated protein???,Mito.pathway,1,1419,2.8,1.48,154.47,3.09,1.63,66.39,66.39,5.82,2.08,1.47,0.688,1.14,0.896
Tb927.4.2520,"NAD dependent deacetylase SIR2RP3, nicotinic acid mononucleotide 5,6-dimethylbenzimidazole (cobb) protein",Mito.pathway,1,735,1.8,0.83,59.76,1.20,0.26,33.37,33.37,2.93,1.64,2.23,0.642,1.86,2.186
Tb927.8.3140,"NAD dependent deacetylase, putative, SIR2RP2",Mito.pathway,1,921,1.1,0.19,126.21,2.52,1.34,21.96,21.96,1.93,1.68,1.82,0.624,1.02,3.085
Tb927.7.3910,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,1,1515,1.6,0.67,160.33,3.21,1.68,52.46,52.46,4.6,2.9,1.91,0.615,1.53,0.905
Tb927.11.15440,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,1,621,1.9,0.92,117.32,2.35,1.23,22.86,22.86,2,1.06,1.71,0.63,0.8,2.714
Tb927.4.4300,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,1,1692,0.7,-0.62,114.79,2.30,1.20,26.39,26.39,2.31,3.55,2.1,0.695,0.99,1.061
Tb927.10.1160,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,2,447,2.4,1.26,75.53,3.02,1.60,57.81,115.62,10.14,4.22,9.44,0.692,0.72,1.218
Tb927.8.5560,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,1,1602,1.4,0.53,175.40,3.51,1.81,71.81,71.81,6.3,4.36,2.72,0.748,1.14,1.478
Tb927.9.15010,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,1,615,3.1,1.61,135.35,2.71,1.44,41.17,41.17,3.61,1.18,1.92,0.508,0.77,1.422
Tb927.8.2530,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,1,345,6.2,2.64,55.63,1.11,0.15,54.43,54.43,4.77,0.77,2.23,0.726,3.23,0.327
Tb927.4.440,"NADH-ubiquinone oxidoreductase complex I subunit, putative",Mito.pathway,1,339,3.3,1.70,36.84,0.74,-0.44,58.75,58.75,5.15,1.58,4.66,0.71,1.62,0.64
Tb927.7.7330,"oxidoreductase, putative",Mito.pathway,1,1239,1.9,0.93,162.09,3.24,1.70,88.46,88.46,7.76,4.08,3.29,0.697,1.17,0.988
Tb927.9.7190,"oxidoreductase, putative",Mito.pathway,1,1338,1.1,0.18,102.95,2.06,1.04,84.05,84.05,7.37,6.5,4.86,0.695,0.94,0.592
Tb927.7.7410,"oxidoreductase, putative",Mito.pathway,1,1008,1.5,0.54,118.09,2.36,1.24,89.13,89.13,7.82,5.37,5.33,0.767,0.83,0.985
Tb927.6.2420,p22 protein precursor,Mito.pathway,1,684,5.5,2.47,170.67,3.41,1.77,273.35,273.35,23.97,4.33,6.33,0.787,0.44,0.975
Tb927.7.3470,"p22 protein precursor, putative",Mito.pathway,1,783,1.7,0.74,109.56,2.19,1.13,72.67,72.67,6.37,3.81,4.87,0.692,1.18,1.445
Tb927.11.9900,"phytoene synthase, putative, complex I",Mito.pathway,1,1662,1.4,0.46,126.03,2.52,1.33,57.41,57.41,5.03,3.66,2.2,0.679,1.16,0.948
Tb927.11.7780,POMP16,Mito.pathway,1,1260,2.1,1.08,114.63,2.29,1.20,99.34,99.34,8.71,4.13,3.28,0.784,0.47,0.457
Tb927.8.6080,POMP42,Mito.pathway,1,1002,2.4,1.29,37.90,0.76,-0.40,53.91,53.91,4.73,1.94,1.94,0.734,1.15,0.359
Tb927.7.210,proline dehydrogenase,Mito.pathway,1,1671,1.2,0.23,177.15,3.54,1.82,230.02,230.02,20.17,17.25,10.32,0.68,0.19,1.445
Tb927.5.1310,"protoheme IX farnesyltransferase, putative",Mito.pathway,1,1116,2.0,1.00,166.94,3.34,1.74,52.29,52.29,4.59,2.3,2.06,0.678,0.85,1.873
Tb927.7.2440,"pyrroline-5-carboxylate reductase, putative (P5CR)",Mito.pathway,1,813,2.7,1.43,194.32,3.89,1.96,169.58,169.58,14.87,5.52,6.79,0.637,1,2.003
Tb927.9.14160,"rieske iron-sulfur protein, mitochondrial precursor (RISP)",Mito.pathway,1,894,3.3,1.73,55.18,1.10,0.14,176.25,176.25,15.46,4.65,5.2,0.815,0.39,0.63
Tb927.11.13890,RNA ligase asociated with SSU,Mito.pathway,1,807,1.3,0.34,90.15,1.80,0.85,32.84,32.84,2.88,2.28,2.83,0.525,0.71,0.979
Tb927.5.510,"SDH10 homogue, succinate dehydrogenase complex",Mito.pathway,1,384,5.3,2.41,91.35,1.83,0.87,155.72,155.72,13.66,2.56,6.67,0.777,1.44,0.818
Tb927.8.6410,"short-chain dehydrogenase, putative",Mito.pathway,1,1425,0.6,-0.79,89.49,1.79,0.84,8.16,8.16,0.72,1.24,0.87,0.614,0.45,0.285
Tb927.9.5890,"solanesyl-diphosphate synthase, putative (28G16.440)",Mito.pathway,1,1080,2.8,1.51,216.65,4.33,2.12,102.20,102.2,8.96,3.15,2.92,0.774,0.71,0.907
Tb927.5.520,"stomatin-like protein, putative",Mito.pathway,1,1596,1.0,0.03,65.00,1.30,0.38,151.08,151.08,13.25,12.94,8.11,0.724,0.97,0.51
Tb927.6.2490,Succinate dehydrogenase complex component (SDH7 in T cruzi),Mito.pathway,1,876,2.5,1.32,106.73,2.13,1.09,245.97,245.97,21.57,8.65,9.87,0.733,0.49,1.06
Tb927.6.4130,"succinate dehydrogenase cytochrome B subunit, SDH3, putative",Mito.pathway,1,315,6.7,2.74,64.57,1.29,0.37,97.24,97.24,8.53,1.28,4.06,0.749,0.66,0.633
Tb927.11.15820,"superoxide dismutase, putative",Mito.pathway,1,930,1.7,0.73,80.87,1.62,0.69,83.68,83.68,7.34,4.44,4.77,0.78,0.69,0.93
Tb927.9.4310,"tricarboxylate carrier, putative",Mito.pathway,1,984,0.9,-0.22,16.87,0.34,-1.57,38.30,38.3,3.36,3.92,3.98,0.793,0.34,0.355
Tb927.11.10510,"ubiquinone biosynthesis methyltransferase, putative",Mito.pathway,1,867,0.8,-0.28,156.09,3.12,1.64,144.98,144.98,12.71,15.41,17.77,0.654,0.56,1.584
Tb927.3.4890,"ubiquinone biosynthesis protein COQ7 homolog, putative",Mito.pathway,1,615,1.6,0.70,65.39,1.31,0.39,46.26,46.26,4.06,2.51,4.08,0.541,1,0.971
Tb927.11.13580,ubiquinone biosynthesis protein-like protein,Mito.pathway,1,750,1.1,0.18,95.40,1.91,0.93,78.50,78.5,6.88,6.07,8.09,0.603,1.13,1.07
Tb927.8.3830,"ATP-dependent DEAD/H RNA helicase, putative,mitochondrial",Mito.RNA,1,2238,0.7,-0.42,75.16,1.50,0.59,25.50,25.5,2.24,3,1.34,0.686,2.22,0.545
Tb927.4.3020,"ATP-dependent DEAH-box RNA helicase, putative",Mito.RNA,2,4323,0.9,-0.10,127.60,5.10,2.35,26.66,53.32,4.68,5.01,1.16,0.744,2.33,0.143
Tb927.2.2570,GAP2,Mito.RNA,1,501,3.7,1.88,22.66,0.45,-1.14,6.84,6.84,0.6,0.16,0.32,0.678,3.75,0.267
Tb927.7.2570,"guide RNA associated protein, GAP2",Mito.RNA,1,1422,4.2,2.05,152.41,3.05,1.61,195.40,195.4,17.14,4.12,2.9,0.81,2.05,0.368
Tb927.11.15850,kinetoplast poly(A) polymerase complex 1 subunit,Mito.RNA,1,2265,3.7,1.87,209.41,4.19,2.07,217.31,217.31,19.06,5.22,2.3,0.755,1.4,0.451
Tb927.11.1250,"kinetoplast poly(A) polymerase complex 1 subunit, MIT ssu-associated",Mito.RNA,1,2625,1.4,0.45,171.78,3.44,1.78,136.20,136.2,11.94,8.76,3.34,0.748,0.89,0.569
Tb927.11.14380,Kinetoplast polyadenylation/uridylation factor 2,Mito.RNA,1,1932,1.2,0.24,159.59,3.19,1.67,67.85,67.85,5.95,5.02,2.6,0.723,1.68,0.533
Tb927.8.6040,Kinetoplast ribosomal PPR-repeat containing protein 11 ,Mito.RNA,1,720,39.0,5.28,126.71,2.53,1.34,13.95,13.95,1.22,0.03,0.04,0.45,2.76,0.4
Tb927.11.7960,kPAP kinetoplast poly(A) polymerase 1,Mito.RNA,1,1584,1.5,0.56,162.05,3.24,1.70,56.55,56.55,4.96,3.36,2.12,0.617,1.02,0.463
Tb927.10.160,KPAP2 Kinetoplast poly(A) polymerase,Mito.RNA,1,1128,1.3,0.35,100.95,2.02,1.01,22.82,22.82,2,1.57,1.39,0.615,1.03,0.635
Tb927.9.4360,KREL1,Mito.RNA,1,1410,1.5,0.63,152.07,3.04,1.60,83.75,83.75,7.35,4.75,3.37,0.661,1.08,1.56
Tb927.1.3030,KREL2,Mito.RNA,1,1251,2.7,1.42,193.15,3.86,1.95,51.10,51.1,4.48,1.68,1.34,0.636,1.08,1.089
Tb927.10.8210,KREPA2,Mito.RNA,1,1764,1.4,0.49,191.57,3.83,1.94,67.97,67.97,5.96,4.24,2.4,0.67,1.1,0.755
Tb927.8.620,KREPA3,Mito.RNA,1,1182,1.5,0.62,117.31,2.35,1.23,66.93,66.93,5.87,3.81,3.22,0.623,1.48,0.599
Tb927.10.5110,KREPA4,Mito.RNA,1,657,0.9,-0.14,48.50,0.97,-0.04,25.91,25.91,2.27,2.5,3.81,0.484,0.97,1.064
Tb927.8.680,KREPA5,Mito.RNA,1,510,2.3,1.21,51.69,1.03,0.05,14.71,14.71,1.29,0.56,1.1,0.368,1.47,0.539
Tb927.10.5120,KREPA6,Mito.RNA,1,495,1.5,0.60,67.82,1.36,0.44,75.46,75.46,6.62,4.36,8.81,0.749,1.02,1.266
Tb927.11.2990,KREPB4,Mito.RNA,1,1245,1.1,0.08,122.11,2.44,1.29,44.81,44.81,3.93,3.71,2.98,0.663,1.05,2.055
Tb927.11.940,KREPB5,Mito.RNA,1,1149,1.4,0.45,90.49,1.81,0.86,46.38,46.38,4.07,2.98,2.59,0.618,1.38,1.075
Tb927.3.3990,KREPB6,Mito.RNA,1,1317,0.8,-0.29,63.15,1.26,0.34,41.40,41.4,3.63,4.45,3.38,0.675,0.96,1.798
Tb927.9.5630,KREPB7,Mito.RNA,1,1236,1.2,0.27,106.37,2.13,1.09,28.44,28.44,2.49,2.07,1.67,0.688,0.91,1.505
Tb927.8.5690,KREPB8,Mito.RNA,1,1107,0.8,-0.25,75.41,1.51,0.59,19.86,19.86,1.74,2.07,1.87,0.694,2.17,0.974
Tb927.7.1550,KRET2,Mito.RNA,1,1464,1.3,0.43,87.66,1.75,0.81,36.61,36.61,3.21,2.38,1.63,0.685,1.25,0.629
Tb927.7.1070,KREX1,Mito.RNA,1,2685,0.9,-0.19,115.45,2.31,1.21,33.35,33.35,2.92,3.34,1.24,0.647,2.19,0.242
Tb927.10.3570,KREX2,Mito.RNA,1,2724,1.0,0.03,136.34,2.73,1.45,80.16,80.16,7.03,6.91,2.54,0.743,1.52,0.25
Tb927.11.8870,"mitochondrial DEAD box protein,KREH1 (KREH1)",Mito.RNA,1,1641,1.4,0.50,146.06,2.92,1.55,59.10,59.1,5.18,3.66,2.23,0.746,0.75,0.356
Tb927.11.5780,mitochondrial DNA-directed RNA polymerase (MTRNAP),Mito.RNA,1,3825,1.3,0.39,167.14,3.34,1.74,67.74,67.74,5.94,4.54,1.19,0.763,2.23,0.262
Tb927.1.1330,Mitochondrial Editosome-like Complex TUTase (MEAT1),Mito.RNA,1,1221,1.6,0.69,108.94,2.18,1.12,27.14,27.14,2.38,1.48,1.21,0.621,0.87,0.953
Tb927.9.7210,mitochondrial exoribonuclease DSS-1,Mito.RNA,1,2232,1.3,0.34,120.35,2.41,1.27,30.92,30.92,2.71,2.14,0.96,0.652,1,0.932
Tb927.4.4150,mitochondrial RNA binding complex 1 subunit,Mito.RNA,2,2805,1.8,0.82,182.61,7.30,2.87,51.45,102.9,9.02,5.1,1.82,0.677,1.25,0.333
Tb927.11.2530,mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,2244,1.6,0.66,148.77,2.98,1.57,91.27,91.27,8,5.08,2.26,0.778,1.35,0.381
Tb927.3.1820,mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,870,3.3,1.73,55.31,1.11,0.15,97.88,97.88,8.58,2.59,2.98,0.79,2.01,0.351
Tb927.11.9140,mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,525,1.4,0.46,35.48,0.71,-0.49,90.84,90.84,7.97,5.78,11.01,0.745,0.81,1.232
Tb927.11.15640,"mitochondrial RNA binding complex 1 subunit, NUDIX hydrolase",Mito.RNA,1,1188,1.5,0.55,72.11,1.44,0.53,81.96,81.96,7.19,4.9,4.12,0.776,1.96,0.548
Tb927.6.2140,"Mitochondrial RNA binding complex I component, putative",Mito.RNA,1,804,2.6,1.37,78.29,1.57,0.65,67.73,67.73,5.94,2.29,2.85,0.663,0.75,1.048
Tb927.10.11870,mitochondrial RNA binding protein,Mito.RNA,1,933,2.4,1.27,124.33,2.49,1.31,76.39,76.39,6.7,2.79,2.99,0.773,1.35,0.66
Tb927.8.2740,mitochondrial RNA binding protein (TbRBP38),Mito.RNA,1,1017,4.8,2.25,147.41,2.95,1.56,227.70,227.7,19.97,4.19,4.12,0.795,1.69,0.338
Tb927.11.5500,mitochondrial RNA binding protein 1 KRIPP1 (PPR),Mito.RNA,1,2439,1.0,-0.06,149.58,2.99,1.58,52.03,52.03,4.56,4.76,1.95,0.697,0.52,0.413
Tb927.11.1710,"mitochondrial RNA binding protein 1,gBP21, MRP1 (GBP21)",Mito.RNA,1,621,5.9,2.57,352.60,7.05,2.82,308.21,308.21,27.03,4.56,7.34,0.765,0.56,1.536
Tb927.11.13280,mitochondrial RNA binding protein 2 (GBP25),Mito.RNA,1,675,5.1,2.34,186.88,3.74,1.90,351.86,351.86,30.86,6.09,9.02,0.818,0.7,1.033
Tb927.11.16860,mitochondrial RNA binding protein MRB subunit,Mito.RNA,1,1449,1.4,0.50,168.33,3.37,1.75,44.00,44,3.86,2.73,1.88,0.635,1.04,1.08
Tb927.11.7900,"mitochondrial RNA binding protein,RBP16",Mito.RNA,1,426,8.2,3.03,178.93,3.58,1.84,289.20,289.2,25.36,3.1,7.28,0.806,0.33,1.219
Tb927.11.8400,Mitochondrial RNA processing endonuclease 1 (mRPN1),Mito.RNA,1,1461,1.5,0.62,131.95,2.64,1.40,3.85,3.85,0.34,0.22,0.15,0.63,1.4,1.071
Tb927.10.6850,MItochondrial SSU S18 or kinetoplast poly(A) polymerase complex 1 subunit,Mito.RNA,1,963,1.9,0.92,125.83,2.52,1.33,54.03,54.03,4.74,2.5,2.6,0.571,1.04,1
Tb927.10.10130,MRB complex component mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,1638,1.5,0.60,191.54,3.83,1.94,71.95,71.95,6.31,4.16,2.54,0.679,0.93,0.898
Tb927.5.3010,MRB complex protein,Mito.RNA,1,1551,1.9,0.89,151.39,3.03,1.60,129.72,129.72,11.38,6.14,3.96,0.729,1.89,0.694
Tb927.2.1860,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,2619,1.1,0.13,100.05,2.00,1.00,78.62,78.62,6.9,6.32,2.41,0.7,1.56,0.447
Tb927.2.6070,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,858,2.3,1.19,144.58,2.89,1.53,102.72,102.72,9.01,3.96,4.62,0.588,0.97,1.06
Tb927.7.800,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,1632,1.2,0.21,109.48,2.19,1.13,46.77,46.77,4.1,3.54,2.17,0.722,0.69,1.142
Tb927.3.1590,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,2007,2.2,1.11,158.20,3.16,1.66,161.77,161.77,14.19,6.55,3.26,0.779,1.65,0.277
Tb927.1.3010,"mRNA processing protein, putative",Mito.RNA,1,1119,1.0,0.04,77.38,1.55,0.63,58.95,58.95,5.17,5.05,4.51,0.644,2.19,0.613
Tb927.2.3800,"mRNA processing protein, putative GAP1 MRB complex protein",Mito.RNA,1,1479,3.0,1.57,92.74,1.85,0.89,288.29,288.29,25.28,8.53,5.77,0.797,0.98,0.765
Tb927.11.15650,"poly(A) polymerase, mitochondrial, putative",Mito.RNA,1,1002,1.3,0.36,79.64,1.59,0.67,26.18,26.18,2.3,1.79,1.79,0.622,0.92,1.467
Tb927.10.10830,"RGG2, MRB complex component",Mito.RNA,1,963,1.0,0.03,111.44,2.23,1.16,94.73,94.73,8.31,8.11,8.42,0.788,0.71,0.612
Tb927.5.1710,"ribonucleoprotein p18, mitochondrial precursor, putative",Mito.RNA,1,567,9.5,3.25,144.32,2.89,1.53,281.87,281.87,24.72,2.6,4.59,0.806,0.52,0.641
Tb927.4.1500,RNA editing associated helicase 2 (REH2) MRB 1 subunit,Mito.RNA,2,6504,1.7,0.76,232.41,9.30,3.22,77.15,154.3,13.53,7.99,1.23,0.717,3.1,0.075
Tb927.1.1690,RNA editing endoribonuclease (KREN1),Mito.RNA,1,2454,1.3,0.35,97.09,1.94,0.96,14.55,14.55,1.28,1,0.41,0.709,1.5,0.456
Tb927.10.5440,RNA editing endoribonuclease (KREN2),Mito.RNA,1,1617,1.1,0.10,147.91,2.96,1.56,34.63,34.63,3.04,2.84,1.76,0.561,1.02,1.63
Tb927.10.5320,RNA editing endoribonuclease (KREN3),Mito.RNA,1,1791,1.4,0.53,106.64,2.13,1.09,26.76,26.76,2.35,1.63,0.91,0.707,1.41,0.958
Tb927.4.1990,"RNA helicase, SUV3 homologue, putative,in mitochondrion",Mito.RNA,1,1881,1.0,-0.03,110.54,2.21,1.14,39.87,39.87,3.5,3.58,1.9,0.73,1.79,0.913
Tb927.7.3950,"RNA-editing 3' terminal uridylyl transferase 1,KRET1 (KRET1)",Mito.RNA,1,2928,1.1,0.16,207.67,4.15,2.05,95.71,95.71,8.39,7.5,2.56,0.76,1.38,0.638
Tb927.2.2470,"RNA-editing complex protein,KREPA1 (KREPA1)",Mito.RNA,1,2289,0.8,-0.41,167.49,3.35,1.74,46.33,46.33,4.06,5.41,2.36,0.709,1.24,0.613
Tb927.2.3180,TbPPR1 mitochondrial RNA binding protein 1,Mito.RNA,1,3012,1.6,0.70,163.17,3.26,1.71,155.54,155.54,13.64,8.42,2.8,0.789,1.12,0.457
Tb927.6.2230,TbRGG1,Mito.RNA,1,2385,1.1,0.18,116.27,2.33,1.22,64.76,64.76,5.68,5.03,2.11,0.742,0.2,0.502
Tb927.4.750,"50S ribosomal protein L7Ae, putative",Mito.translation,1,438,13.5,3.76,69.01,1.38,0.46,89.57,89.57,7.86,0.58,1.32,0.778,2.41,0.254
Tb927.4.2720,ATP dependent DEAD-box helicase (RH),Mito.translation,1,2220,1.0,-0.05,113.54,2.27,1.18,31.16,31.16,2.73,2.83,1.27,0.725,1.8,0.441
Tb927.6.2480,"chaperone protein DNAj, associated with Mitchondrial LSU ribosome",Mito.translation,1,1038,1.5,0.57,179.34,3.59,1.84,43.96,43.96,3.86,2.6,2.5,0.622,0.33,2.941
Tb927.10.5010,EF-G1 Mitochondrial elongation factor G,Mito.translation,2,2241,3.8,1.92,154.16,6.17,2.62,104.87,209.74,18.39,4.86,2.17,0.787,0.86,0.364
Tb927.3.3630,EF-TS Mitochondrial elongation factor ts,Mito.translation,1,825,0.9,-0.16,41.38,0.83,-0.27,19.45,19.45,1.71,1.91,2.32,0.612,0.34,0.627
Tb927.10.13360,EF-Tu Mitochondrial elongation factor Tu,Mito.translation,1,1413,2.0,0.99,135.50,2.71,1.44,196.52,196.52,17.24,8.7,6.16,0.8,0.46,0.498
Tb927.3.4550,KRIPP6/TbPPR6 Kinetoplast ribosomal PPR-repeat containing protein,Mito.translation,1,2028,0.7,-0.47,144.29,2.89,1.53,30.70,30.7,2.69,3.74,1.84,0.712,1.2,0.833
