2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,PC RNAs/cell Silicotryp,RPM Ribsome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb,Fraction in polysomes,LOG 2 Ribosomes/kb,Ribosomes/kb on polysomes,
Tb927.11.2530,mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,2244,2.5,170.20,170.2,33.46,13.31,5.93,0.655,2.57,9.053435115,
Tb927.3.1820,mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,870,3.6,133.39,133.39,26.23,7.37,8.48,0.74,3.08,11.45945946,
Tb927.11.9140,mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,525,3.7,87.60,87.6,17.22,4.69,8.94,0.755,3.16,11.8410596,
Tb927.11.15640,"mitochondrial RNA binding complex 1 subunit, NUDIX hydrolase",Mito.RNA,1,1188,1.6,73.39,73.39,14.43,8.94,7.52,0.715,2.91,10.51748252,
Tb927.6.2140,"Mitochondrial RNA binding complex I component, putative",Mito.RNA,1,804,7.4,82.29,82.29,16.18,2.19,2.72,0.64,1.44,4.25,
Tb927.10.11870,mitochondrial RNA binding protein,Mito.RNA,1,933,3.8,82.41,82.41,16.2,4.22,4.53,0.685,2.18,6.613138686,
Tb927.8.2740,mitochondrial RNA binding protein (TbRBP38),Mito.RNA,1,1017,6.1,383.28,383.28,75.36,12.41,12.2,0.77,3.61,15.84415584,
Tb927.11.5500,mitochondrial RNA binding protein 1 KRIPP1 (PPR),Mito.RNA,1,2439,4.0,233.28,233.28,45.86,11.52,4.72,0.59,2.24,8,
Tb927.11.1710,"mitochondrial RNA binding protein 1,gBP21, MRP1 (GBP21)",Mito.RNA,1,621,22.9,345.19,345.19,67.87,2.97,4.78,0.865,2.26,5.526011561,
Tb927.11.13280,mitochondrial RNA binding protein 2 (GBP25),Mito.RNA,1,675,15.5,462.96,462.96,91.02,5.89,8.73,0.865,3.13,10.09248555,
Tb927.11.16860,mitochondrial RNA binding protein MRB subunit,Mito.RNA,1,1449,2.9,37.40,37.4,7.35,2.52,1.74,0.49,0.8,3.551020408,
Tb927.11.7900,"mitochondrial RNA binding protein,RBP16",Mito.RNA,1,426,53.5,691.00,691,135.86,2.54,5.97,0.92,2.58,6.489130435,
Tb927.11.8400,Mitochondrial RNA processing endonuclease 1 (mRPN1),Mito.RNA,1,1461,2.4,2.41,2.41,0.47,0.2,0.14,0.485,-2.84,0.288659794,
Tb927.10.6850,MItochondrial SSU S18 or kinetoplast poly(A) polymerase complex 1 subunit,Mito.RNA,1,963,3.9,50.07,50.07,9.84,2.5,2.6,0.445,1.38,5.842696629,
Tb927.10.10130,MRB complex component mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,1638,3.5,82.53,82.53,16.23,4.63,2.83,0.53,1.5,5.339622642,
Tb927.5.3010,MRB complex protein,Mito.RNA,1,1551,2.1,95.00,95,18.68,8.86,5.71,0.53,2.51,10.77358491,
Tb927.7.800,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,1632,3.6,57.00,57,11.21,3.11,1.9,0.595,0.93,3.193277311,
Tb927.2.1860,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,2619,1.5,108.23,108.23,21.28,14.12,5.39,0.645,2.43,8.356589147,
Tb927.2.6070,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,858,5.0,95.90,95.9,18.85,3.74,4.36,0.505,2.12,8.633663366,
Tb927.3.1590,MRB complex protein mitochondrial RNA binding complex 1 subunit,Mito.RNA,1,2007,2.8,338.21,338.21,66.49,23.61,11.77,0.745,3.56,15.79865772,
Tb927.1.3010,"mRNA processing protein, putative",Mito.RNA,1,1119,1.0,42.19,42.19,8.29,8.23,7.36,0.52,2.88,14.15384615,
Tb927.2.3800,"mRNA processing protein, putative GAP1 MRB complex protein",Mito.RNA,1,1479,6.5,370.12,370.12,72.77,11.16,7.54,0.805,2.91,9.366459627,
Tb927.11.15650,"poly(A) polymerase, mitochondrial, putative",Mito.RNA,1,1002,3.0,18.52,18.52,3.64,1.22,1.22,0.495,0.29,2.464646465,
Tb927.10.10830,"RGG2, MRB complex component",Mito.RNA,1,963,3.1,207.86,207.86,40.87,13.25,13.76,0.755,3.78,18.22516556,
Tb927.5.1710,"ribonucleoprotein p18, mitochondrial precursor, putative",Mito.RNA,1,567,39.0,806.06,806.06,158.48,4.06,7.16,0.93,2.84,7.698924731,
Tb927.4.1500,RNA editing associated helicase 2 (REH2) MRB 1 subunit,Mito.RNA,2,6504,1.2,319.12,638.24,125.48,107.35,16.51,0.715,4.05,23.09090909,
Tb927.1.1690,RNA editing endoribonuclease (KREN1),Mito.RNA,1,2454,1.8,20.56,20.56,4.04,2.2,0.9,0.425,-0.15,2.117647059,
Tb927.10.5440,RNA editing endoribonuclease (KREN2),Mito.RNA,1,1617,2.3,20.21,20.21,3.97,1.75,1.08,0.475,0.11,2.273684211,
Tb927.10.5320,RNA editing endoribonuclease (KREN3),Mito.RNA,1,1791,2.2,18.98,18.98,3.73,1.7,0.95,0.6,-0.07,1.583333333,
Tb927.4.1990,"RNA helicase, SUV3 homologue, putative,in mitochondrion",Mito.RNA,1,1881,1.2,23.39,23.39,4.6,3.91,2.08,0.66,1.06,3.151515152,
Tb927.7.3950,"RNA-editing 3' terminal uridylyl transferase 1,KRET1 (KRET1)",Mito.RNA,1,2928,1.8,104.45,104.45,20.54,11.73,4.01,0.725,2,5.531034483,
Tb927.2.2470,"RNA-editing complex protein,KREPA1 (KREPA1)",Mito.RNA,1,2289,1.3,58.13,58.13,11.43,8.82,3.85,0.51,1.94,7.549019608,
Tb927.2.3180,TbPPR1 mitochondrial RNA binding protein 1,Mito.RNA,1,3012,3.1,292.00,292,57.41,18.46,6.13,0.7,2.62,8.757142857,
Tb927.6.2230,TbRGG1,Mito.RNA,1,2385,12.0,611.90,611.9,120.3,10.03,4.2,0.6,2.07,7,
Tb927.4.750,"50S ribosomal protein L7Ae, putative",Mito.translation,1,438,12.1,139.73,139.73,27.47,2.28,5.2,0.815,2.38,6.380368098,
Tb927.4.2720,ATP dependent DEAD-box helicase (RH),Mito.translation,1,2220,1.1,37.37,37.37,7.35,6.39,2.88,0.54,1.53,5.333333333,
Tb927.6.2480,"chaperone protein DNAj, associated with Mitchondrial LSU ribosome",Mito.translation,1,1038,9.5,42.69,42.69,8.39,0.88,0.85,0.44,-0.23,1.931818182,
Tb927.10.5010,EF-G1 Mitochondrial elongation factor G,Mito.translation,2,2241,9.4,320.93,641.86,126.19,13.35,5.96,0.57,2.58,10.45614035,
Tb927.3.3630,EF-TS Mitochondrial elongation factor ts,Mito.translation,1,825,5.6,86.89,86.89,17.08,3.06,3.7,0.77,1.89,4.805194805,
Tb927.10.13360,EF-Tu Mitochondrial elongation factor Tu,Mito.translation,1,1413,9.3,823.43,823.43,161.89,17.47,12.36,0.82,3.63,15.07317073,
Tb927.3.4550,KRIPP6/TbPPR6 Kinetoplast ribosomal PPR-repeat containing protein,Mito.translation,1,2028,1.3,29.35,29.35,5.77,4.48,2.21,0.545,1.14,4.055045872,
Tb927.4.4720,KRIPP7/TbPPR7 Kinetoplast ribosomal PPR-repeat containing protein,Mito.translation,1,1584,1.2,27.63,27.63,5.43,4.38,2.77,0.43,1.47,6.441860465,
Tb927.6.3600,Mitchondrial LSU ribosomal protein,Mito.translation,1,1320,8.6,22.81,22.81,4.48,0.52,0.4,0.37,-1.32,1.081081081,
Tb927.8.1880,Mitchondrial LSU ribosomal protein,Mito.translation,1,573,7.9,21.81,21.81,4.29,0.54,0.94,0.56,-0.09,1.678571429,
Tb927.7.6800,Mitchondrial LSU ribosomal protein,Mito.translation,1,1137,6.7,41.35,41.35,8.13,1.2,1.06,0.57,0.08,1.859649123,
Tb927.9.14050,Mitchondrial LSU ribosomal protein,Mito.translation,1,1575,3.0,30.85,30.85,6.07,2.01,1.28,0.62,0.36,2.064516129,
Tb927.11.10170,Mitchondrial LSU ribosomal protein,Mito.translation,1,642,9.8,47.74,47.74,9.39,0.96,1.5,0.68,0.58,2.205882353,
Tb927.4.4600,Mitchondrial LSU ribosomal protein,Mito.translation,1,783,7.2,42.29,42.29,8.31,1.16,1.48,0.66,0.57,2.242424242,
Tb927.6.4080,Mitchondrial LSU ribosomal protein,Mito.translation,1,618,10.7,49.44,49.44,9.72,0.91,1.48,0.61,0.57,2.426229508,
Tb927.11.10050,Mitchondrial LSU ribosomal protein,Mito.translation,1,309,10.2,34.79,34.79,6.84,0.67,2.17,0.675,1.12,3.214814815,
Tb927.11.10080,Mitchondrial LSU ribosomal protein,Mito.translation,1,570,5.9,24.26,24.26,4.77,0.81,1.42,0.43,0.51,3.302325581,
Tb927.9.12850,Mitchondrial LSU ribosomal protein,Mito.translation,1,1761,2.2,33.96,33.96,6.68,3.07,1.74,0.515,0.8,3.378640777,
Tb927.9.3640,Mitchondrial LSU ribosomal protein,Mito.translation,1,597,6.5,43.06,43.06,8.47,1.3,2.18,0.645,1.12,3.379844961,
Tb927.4.4610,Mitchondrial LSU ribosomal protein,Mito.translation,1,960,3.8,24.42,24.42,4.8,1.26,1.31,0.385,0.39,3.402597403,
Tb927.8.2760,Mitchondrial LSU ribosomal protein,Mito.translation,1,1434,2.9,30.34,30.34,5.97,2.07,1.44,0.42,0.53,3.428571429,
Tb927.11.4650,Mitchondrial LSU ribosomal protein,Mito.translation,1,4569,2.1,85.21,85.21,16.75,7.94,1.74,0.48,0.8,3.625,
Tb927.10.11050,Mitchondrial LSU ribosomal protein,Mito.translation,1,939,4.2,42.89,42.89,8.43,2.03,2.16,0.58,1.11,3.724137931,
Tb927.10.12050,Mitchondrial LSU ribosomal protein,Mito.translation,1,870,4.3,34.07,34.07,6.7,1.56,1.8,0.445,0.85,4.04494382,
Tb927.4.1810,Mitchondrial LSU ribosomal protein,Mito.translation,1,345,9.2,43.65,43.65,8.58,0.93,2.69,0.665,1.43,4.045112782,
Tb927.3.1710,Mitchondrial LSU ribosomal protein,Mito.translation,1,1137,5.3,76.24,76.24,14.99,2.84,2.5,0.6,1.32,4.166666667,
Tb927.7.4140,Mitchondrial LSU ribosomal protein,Mito.translation,1,567,4.2,36.61,36.61,7.2,1.71,3.01,0.71,1.59,4.23943662,
Tb927.8.3170,Mitchondrial LSU ribosomal protein,Mito.translation,1,2391,2.3,63.93,63.93,12.57,5.5,2.3,0.54,1.2,4.259259259,
Tb927.6.4040,Mitchondrial LSU ribosomal protein,Mito.translation,1,726,8.4,89.72,89.72,17.64,2.11,2.9,0.67,1.54,4.328358209,
Tb927.7.3510,Mitchondrial LSU ribosomal protein,Mito.translation,1,1449,2.1,32.16,32.16,6.32,2.99,2.07,0.465,1.05,4.451612903,
Tb927.6.1440,Mitchondrial LSU ribosomal protein,Mito.translation,1,777,6.4,61.40,61.4,12.07,1.88,2.42,0.525,1.28,4.60952381,
Tb927.11.14980,Mitchondrial LSU ribosomal protein,Mito.translation,1,1524,3.8,68.88,68.88,13.54,3.55,2.33,0.505,1.22,4.613861386,
Tb927.10.600,Mitchondrial LSU ribosomal protein,Mito.translation,1,1626,4.7,101.29,101.29,19.91,4.21,2.59,0.555,1.37,4.666666667,
Tb927.5.3870,Mitchondrial LSU ribosomal protein,Mito.translation,1,2196,1.7,44.31,44.31,8.71,5.1,2.32,0.495,1.21,4.686868687,
Tb927.6.4200,Mitchondrial LSU ribosomal protein,Mito.translation,1,1335,6.1,118.65,118.65,23.33,3.82,2.86,0.6,1.52,4.766666667,
Tb927.3.820,Mitchondrial LSU ribosomal protein,Mito.translation,1,567,3.7,27.80,27.8,5.47,1.46,2.58,0.53,1.37,4.867924528,
Tb927.10.1870,Mitchondrial LSU ribosomal protein,Mito.translation,1,456,5.8,34.89,34.89,6.86,1.18,2.59,0.53,1.37,4.886792453,
Tb927.5.4120,Mitchondrial LSU ribosomal protein,Mito.translation,1,576,3.9,34.47,34.47,6.78,1.73,3,0.595,1.58,5.042016807,
Tb927.11.5880,Mitchondrial LSU ribosomal protein,Mito.translation,1,1674,2.1,56.18,56.18,11.05,5.16,3.08,0.605,1.62,5.090909091,
Tb927.10.11350,Mitchondrial LSU ribosomal protein,Mito.translation,1,402,5.0,34.48,34.48,6.78,1.35,3.35,0.65,1.74,5.153846154,
Tb927.8.3300,Mitchondrial LSU ribosomal protein,Mito.translation,1,2076,2.6,79.89,79.89,15.71,6.13,2.95,0.545,1.56,5.412844037,
Tb927.5.3980,Mitchondrial LSU ribosomal protein,Mito.translation,1,1125,2.1,44.61,44.61,8.77,4.24,3.77,0.67,1.91,5.626865672,
Tb927.10.7380,Mitchondrial LSU ribosomal protein,Mito.translation,1,1050,4.7,80.05,80.05,15.74,3.33,3.18,0.565,1.67,5.628318584,
Tb927.11.9830,Mitchondrial LSU ribosomal protein,Mito.translation,1,594,5.6,54.73,54.73,10.76,1.91,3.22,0.56,1.69,5.75,
Tb927.7.4710,Mitchondrial LSU ribosomal protein,Mito.translation,1,891,3.8,51.96,51.96,10.22,2.68,3.01,0.515,1.59,5.844660194,
Tb927.11.6000,Mitchondrial LSU ribosomal protein,Mito.translation,1,1380,3.9,76.54,76.54,15.05,3.85,2.79,0.47,1.48,5.936170213,
Tb927.9.7170,Mitchondrial LSU ribosomal protein,Mito.translation,1,1416,4.6,133.00,133,26.15,5.69,4.02,0.66,2.01,6.090909091,
Tb927.6.3930,Mitchondrial LSU ribosomal protein,Mito.translation,1,1281,4.4,114.75,114.75,22.56,5.1,3.98,0.645,1.99,6.170542636,
Tb927.11.5990,Mitchondrial LSU ribosomal protein,Mito.translation,1,1851,1.1,33.73,33.73,6.63,5.83,3.15,0.495,1.66,6.363636364,
Tb927.11.10570,Mitchondrial LSU ribosomal protein,Mito.translation,1,1002,3.9,73.39,73.39,14.43,3.66,3.65,0.555,1.87,6.576576577,
Tb927.11.11630,Mitchondrial LSU ribosomal protein,Mito.translation,1,729,3.4,60.42,60.42,11.88,3.49,4.79,0.7,2.26,6.842857143,
Tb927.5.3410,Mitchondrial LSU ribosomal protein,Mito.translation,1,792,2.6,43.82,43.82,8.62,3.32,4.19,0.58,2.07,7.224137931,
Tb927.7.3460,Mitchondrial LSU ribosomal protein,Mito.translation,1,1350,2.2,56.77,56.77,11.16,5.04,3.73,0.51,1.9,7.31372549,
Tb927.7.7010,Mitchondrial LSU ribosomal protein,Mito.translation,1,465,3.2,36.84,36.84,7.24,2.29,4.92,0.61,2.3,8.06557377,
Tb927.9.8290,Mitchondrial LSU ribosomal protein,Mito.translation,1,657,3.2,53.78,53.78,10.57,3.27,4.98,0.58,2.32,8.586206897,
Tb927.11.15500,Mitchondrial LSU ribosomal protein,Mito.translation,1,852,3.1,68.48,68.48,13.46,4.37,5.13,0.595,2.36,8.621848739,
Tb927.11.3640,Mitchondrial LSU ribosomal protein,Mito.translation,1,558,3.2,68.56,68.56,13.48,4.16,7.45,0.715,2.9,10.41958042,
Tb927.7.2760,Mitchondrial LSU ribosomal protein,Mito.translation,1,837,2.7,58.50,58.5,11.5,4.19,5,0.475,2.32,10.52631579,
Tb927.5.2070,Mitchondrial LSU ribosomal protein,Mito.translation,1,1905,1.0,55.28,55.28,10.87,11.43,6,0.52,2.58,11.53846154,
Tb927.5.3110,Mitchondrial LSU ribosomal protein,Mito.translation,1,657,1.2,29.12,29.12,5.73,4.93,7.51,0.62,2.91,12.11290323,
Tb927.11.1630,Mitchondrial LSU ribosomal protein,Mito.translation,1,2496,1.2,106.05,106.05,20.85,17.77,7.12,0.5,2.83,14.24,
Tb927.11.870,Mitchondrial LSU ribosomal protein,Mito.translation,1,741,1.8,84.47,84.47,16.61,8.98,12.12,0.68,3.6,17.82352941,
Tb927.7.4550,Mitchondrial LSU ribosomal protein,Mito.translation,2,552,5.2,135.99,271.98,53.47,10.27,18.6,0.735,4.22,25.30612245,
Tb927.8.5860,"Mitchondrial LSU ribosomal protein 50S ribosomal protein L17, putative",Mito.translation,1,906,2.9,65.74,65.74,12.93,4.46,4.92,0.615,2.3,8,
Tb927.4.1070,"Mitchondrial LSU ribosomal protein L13, putative",Mito.translation,1,609,4.8,31.60,31.6,6.21,1.28,2.11,0.63,1.08,3.349206349,
Tb927.4.930,"Mitchondrial LSU ribosomal protein L14, putative",Mito.translation,1,570,4.6,48.52,48.52,9.54,2.09,3.66,0.615,1.87,5.951219512,
Tb927.7.3960,"Mitchondrial LSU ribosomal protein L16, putative",Mito.translation,1,504,1.9,23.70,23.7,4.66,2.4,4.77,0.53,2.25,9,
Tb927.5.3360,"Mitchondrial LSU ribosomal protein L2, putative",Mito.translation,1,1236,3.0,63.42,63.42,12.47,4.2,3.4,0.52,1.77,6.538461538,
Tb927.11.9450,"Mitchondrial LSU ribosome-associated cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Mito.translation,1,573,6.1,41.85,41.85,8.23,1.36,2.37,0.595,1.24,3.983193277,
Tb927.7.3430,"Mitchondrial LSU ribosome-associated cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)",Mito.translation,1,696,5.0,44.96,44.96,8.84,1.75,2.52,0.54,1.33,4.666666667,
Tb927.7.3240,Mitchondrial SSU ribosomal associated,Mito.translation,1,492,8.6,37.33,37.33,7.34,0.86,1.74,0.495,0.8,3.515151515,
Tb927.9.6510,Mitchondrial SSU ribosomal associated,Mito.translation,1,2001,4.0,89.74,89.74,17.64,4.43,2.21,0.57,1.14,3.877192982,
Tb927.7.3050,Mitchondrial SSU ribosomal associated,Mito.translation,1,3498,1.9,238.76,238.76,46.94,24.17,6.91,0.7,2.79,9.871428571,
Tb927.9.11120,Mitchondrial SSU ribosomal associated,Mito.translation,1,1809,3.2,162.12,162.12,31.87,10.09,5.58,0.505,2.48,11.04950495,
Tb927.8.5200,Mitchondrial SSU ribosomal associated,Mito.translation,1,5367,0.8,367.54,367.54,72.26,86.82,16.18,0.76,4.02,21.28947368,
Tb927.5.4040,Mitchondrial SSU ribosomal associated (coiled coil),Mito.translation,1,2454,2.6,189.39,189.39,37.24,14.24,5.8,0.62,2.54,9.35483871,
Tb927.11.11470,Mitchondrial SSU ribosomal associated KRIPP14 (PPR),Mito.translation,1,849,3.4,55.60,55.6,10.93,3.19,3.76,0.58,1.91,6.482758621,
Tb927.6.2080,Mitchondrial SSU ribosomal associated KRIPP22 (PPR),Mito.translation,1,1191,3.6,98.19,98.19,19.3,5.38,4.52,0.64,2.18,7.0625,
Tb927.3.5240,Mitchondrial SSU ribosomal associated KRIPP8 (PPR),Mito.translation,1,1746,2.6,111.28,111.28,21.88,8.56,4.9,0.57,2.29,8.596491228,
Tb927.8.5280,Mitchondrial SSU ribosomal associated TbMRPS34,Mito.translation,1,774,6.6,57.42,57.42,11.29,1.72,2.22,0.575,1.15,3.860869565,
Tb927.6.4930,"Mitchondrial SSU ribosomal associated, rhodanese",Mito.translation,1,744,5.6,110.50,110.5,21.73,3.9,5.24,0.605,2.39,8.661157025,
Tb927.9.5280,Mitchondrial SSU ribosomal protein,Mito.translation,1,825,2.3,26.07,26.07,5.13,2.27,2.75,#N/A,1.46,#N/A,
Tb927.5.1790,Mitchondrial SSU ribosomal protein,Mito.translation,1,1896,10.7,99.07,99.07,19.48,1.81,0.96,0.53,-0.06,1.811320755,
Tb927.3.970,Mitchondrial SSU ribosomal protein,Mito.translation,1,1113,6.7,28.16,28.16,5.54,0.83,0.74,0.335,-0.43,2.208955224,
Tb927.1.1200,Mitchondrial SSU ribosomal protein,Mito.translation,1,1290,4.6,48.55,48.55,9.55,2.1,1.63,0.515,0.7,3.165048544,
Tb927.10.3580,Mitchondrial SSU ribosomal protein,Mito.translation,1,975,5.4,44.34,44.34,8.72,1.61,1.65,0.51,0.72,3.235294118,
Tb927.11.7790,Mitchondrial SSU ribosomal protein,Mito.translation,1,567,11.0,49.14,49.14,9.66,0.88,1.56,0.475,0.64,3.284210526,
Tb927.8.1430,Mitchondrial SSU ribosomal protein,Mito.translation,1,501,5.8,32.45,32.45,6.38,1.1,2.19,0.645,1.13,3.395348837,
Tb927.4.3690,Mitchondrial SSU ribosomal protein,Mito.translation,1,1320,3.7,52.82,52.82,10.38,2.84,2.15,0.61,1.1,3.524590164,
Tb927.10.13820,Mitchondrial SSU ribosomal protein,Mito.translation,1,786,7.0,61.42,61.42,12.08,1.72,2.19,0.62,1.13,3.532258065,
Tb927.11.11870,Mitchondrial SSU ribosomal protein,Mito.translation,1,1050,3.0,30.39,30.39,5.97,1.97,1.88,0.52,0.91,3.615384615,
Tb927.9.11880,Mitchondrial SSU ribosomal protein,Mito.translation,1,1323,5.6,83.03,83.03,16.32,2.94,2.22,0.575,1.15,3.860869565,
Tb927.3.770,Mitchondrial SSU ribosomal protein,Mito.translation,1,546,7.5,45.66,45.66,8.98,1.19,2.18,0.545,1.12,4,
Tb927.6.4580,Mitchondrial SSU ribosomal protein,Mito.translation,1,285,18.2,65.56,65.56,12.89,0.71,2.48,0.61,1.31,4.06557377,
Tb927.10.3250,Mitchondrial SSU ribosomal protein,Mito.translation,1,924,2.4,28.68,28.68,5.64,2.3,2.49,0.58,1.32,4.293103448,
Tb927.10.11820,Mitchondrial SSU ribosomal protein,Mito.translation,1,1005,2.2,27.50,27.5,5.41,2.51,2.49,0.495,1.32,5.03030303,
Tb927.10.11260,Mitchondrial SSU ribosomal protein,Mito.translation,1,564,4.8,41.15,41.15,8.09,1.69,2.99,0.57,1.58,5.245614035,
Tb927.10.16090,Mitchondrial SSU ribosomal protein,Mito.translation,1,2412,1.1,38.27,38.27,7.52,6.81,2.82,0.48,1.5,5.875,
Tb927.11.10400,Mitchondrial SSU ribosomal protein,Mito.translation,1,540,5.6,63.08,63.08,12.4,2.21,4.1,0.65,2.04,6.307692308,
Tb927.5.1510,Mitchondrial SSU ribosomal protein,Mito.translation,1,939,2.2,40.28,40.28,7.92,3.58,3.81,0.555,1.93,6.864864865,
Tb927.6.4560,Mitchondrial SSU ribosomal protein,Mito.translation,1,1224,5.1,121.03,121.03,23.8,4.66,3.81,0.505,1.93,7.544554455,
Tb927.8.4860,Mitchondrial SSU ribosomal protein,Mito.translation,1,2040,1.6,53.04,53.04,10.43,6.55,3.21,0.405,1.68,7.925925926,
Tb927.10.2800,Mitchondrial SSU ribosomal protein,Mito.translation,1,483,6.0,80.90,80.9,15.91,2.66,5.51,0.665,2.46,8.285714286,
Tb927.7.2620,Mitchondrial SSU ribosomal protein,Mito.translation,1,885,2.3,46.59,46.59,9.16,4.01,4.53,0.54,2.18,8.388888889,
Tb927.8.4550,Mitchondrial SSU ribosomal protein,Mito.translation,1,552,3.6,46.82,46.82,9.21,2.59,4.7,0.54,2.23,8.703703704,
Tb927.3.2260,Mitchondrial SSU ribosomal protein,Mito.translation,1,687,4.6,92.68,92.68,18.22,3.92,5.71,0.655,2.51,8.717557252,
Tb927.5.3640,Mitchondrial SSU ribosomal protein,Mito.translation,1,813,2.4,58.71,58.71,11.54,4.9,6.03,0.665,2.59,9.067669173,
Tb927.2.4400,Mitchondrial SSU ribosomal protein,Mito.translation,1,3546,2.0,310.38,310.38,61.02,30.65,8.64,0.73,3.11,11.83561644,
Tb927.11.5060,Mitchondrial SSU ribosomal protein,Mito.translation,1,3126,1.1,129.99,129.99,25.56,23.16,7.41,0.595,2.89,12.45378151,
Tb927.11.10150,Mitchondrial SSU ribosomal protein,Mito.translation,1,3636,1.0,192.61,192.61,37.87,37.88,10.42,0.67,3.38,15.55223881,
Tb927.10.10400,Mitchondrial SSU ribosomal protein S11,Mito.translation,1,981,1.4,58.77,58.77,11.55,8.38,8.54,0.515,3.09,16.58252427,
Tb927.6.1250,Mitchondrial SSU ribosomal protein S29,Mito.translation,1,1497,3.5,177.27,177.27,34.85,10.08,6.73,0.585,2.75,11.5042735,
Tb927.10.6300,Mitchondrial SSU ribosomal protein S5,Mito.translation,1,1308,2.9,69.93,69.93,13.75,4.69,3.58,0.61,1.84,5.868852459,
Tb927.8.3110,Mitchondrial SSU ribosomal protein S9,Mito.translation,1,1332,3.1,63.27,63.27,12.44,4.07,3.06,0.575,1.61,5.32173913,
Tb927.9.11280,"Mitchondrial SSU ribosomal S17, putative",Mito.translation,1,924,3.7,71.22,71.22,14,3.8,4.11,#N/A,2.04,#N/A,
Tb927.10.13300,"Mitchondrial SSU ribosomal S8, putative",Mito.translation,1,849,1.3,38.20,38.2,7.51,5.72,6.73,0.61,2.75,11.03278689,
Tb927.2.4740,Mitochondrial LSU ribosomal protein L11,Mito.translation,2,1029,8.4,43.39,86.78,17.06,2.03,1.97,0.61,0.98,3.229508197,
Tb927.1.2990,PPR2,Mito.translation,1,3075,2.0,101.60,101.6,19.98,9.89,3.22,0.605,1.69,5.32231405,
Tb927.1.1160,PPR3,Mito.translation,1,1596,1.0,24.31,24.31,4.78,4.74,2.97,0.435,1.57,6.827586207,
Tb927.10.13200,PPR4,Mito.translation,1,2787,0.9,58.30,58.3,11.46,13.37,4.8,0.53,2.26,9.056603774,
Tb927.10.380,PPR5 mitochondrial RNA binding protein 1,Mito.translation,1,1029,2.3,63.30,63.3,12.45,5.4,5.25,0.56,2.39,9.375,
Tb927.3.1070,RF1 Mitochondrial peptide chain release factor 1,Mito.translation,1,1335,3.2,11.14,11.14,2.19,0.69,0.52,0.39,-0.94,1.333333333,
Tb927.3.5610,"ribosomal protein L3 mitochondrial, putative",Mito.translation,1,1422,3.0,63.40,63.4,12.46,4.18,2.94,0.45,1.56,6.533333333,
Tb927.10.15650,tRNA pseudouridine synthase A-like protein,Mito.translation,1,1767,0.4,47.24,47.24,9.29,21.58,12.22,0.56,3.61,21.82142857,
Tb927.9.12120,"mitochondrial carrier protein, MCP1",Mito.transport,3,993,2.8,57.66,172.98,34.01,12.1,12.19,#N/A,3.61,#N/A,
Tb927.11.270,"mitochondrial carrier protein, MCP10",Mito.transport,1,933,4.2,27.91,27.91,5.49,1.32,1.41,0.465,0.5,3.032258065,
Tb927.9.10310,"mitochondrial carrier protein, MCP11",Mito.transport,1,954,19.6,1024.98,1024.98,201.52,10.28,10.77,0.915,3.43,11.7704918,
Tb927.10.12840,"mitochondrial carrier protein, MCP12",Mito.transport,1,915,24.6,2148.72,2148.72,422.46,17.17,18.76,0.895,4.23,20.96089385,
Tb927.2.2970,"mitochondrial carrier protein, MCP13",Mito.transport,1,939,2.4,173.54,173.54,34.12,14.13,15.04,0.785,3.91,19.15923567,
Tb927.10.13120,"mitochondrial carrier protein, MCP14",Mito.transport,1,1206,2.0,32.07,32.07,6.31,3.1,2.57,0.565,1.36,4.548672566,
Tb927.8.1310,"mitochondrial carrier protein, MCP15",Mito.transport,1,1005,2.7,25.39,25.39,4.99,1.86,1.85,0.565,0.89,3.274336283,
Tb927.7.3940,"mitochondrial carrier protein, MCP16",Mito.transport,1,996,17.3,310.45,310.45,61.04,3.52,3.54,0.82,1.82,4.317073171,
Tb927.3.2980,"mitochondrial carrier protein, MCP17",Mito.transport,1,870,2.1,22.36,22.36,4.4,2.05,2.36,0.57,1.24,4.140350877,
Tb927.8.3330,"mitochondrial carrier protein, MCP18",Mito.transport,1,922,0.9,18.70,18.7,3.68,4.23,4.59,0.37,2.2,12.40540541,
Tb927.8.4440,"mitochondrial carrier protein, MCP19",Mito.transport,1,1104,0.9,13.79,13.79,2.71,3.14,2.84,0.465,1.51,6.107526882,
Tb927.10.14280,"mitochondrial carrier protein, MCP20",Mito.transport,1,912,3.5,44.03,44.03,8.66,2.49,2.73,0.53,1.45,5.150943396,
Tb927.11.13440,"mitochondrial carrier protein, MCP21",Mito.transport,1,951,1.2,6.03,6.03,1.19,1.01,1.06,0.335,0.08,3.164179104,
