Gene ID	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
Tb927.11.15200	Tb927_11_v5.1:4,038,469..4,039,561(-)	hypothetical protein, conserved	protein coding	Tb927.11.15200	
Tb927.11.15210	Tb927_11_v5.1:4,039,681..4,041,209(-)	TLR4 regulator and MIR-interacting MSAP, putative	protein coding	Tb927.11.15210	
Tb927.11.15220	Tb927_11_v5.1:4,041,643..4,042,579(-)	hypothetical protein, conserved	protein coding	Tb927.11.15220	
Tb927.11.15230	Tb927_11_v5.1:4,043,050..4,044,308(-)	cytosolic coat protein, putative	protein coding	Tb927.11.15230	
Tb927.11.15240	Tb927_11_v5.1:4,046,522..4,047,437(-)	Ras-related protein RAB2B, putative	protein coding	Tb927.11.15240	
Tb927.11.15250	Tb927_11_v5.1:4,047,656..4,049,813(-)	hypothetical protein, conserved	protein coding	Tb927.11.15250	
Tb927.11.15270	Tb927_11_v5.1:4,051,735..4,052,595(-)	phosphopantetheine adenylyltransferase, putative	protein coding	Tb927.11.15270	
Tb927.11.15280	Tb927_11_v5.1:4,052,803..4,053,910(-)	tRNA-sepcific adenosine deaminase	protein coding	Tb927.11.15280	
Tb927.11.15290	Tb927_11_v5.1:4,054,022..4,055,116(-)	eRF1 methyltransferase catalytic subunit, putative	protein coding	Tb927.11.15290	
Tb927.11.15300	Tb927_11_v5.1:4,055,402..4,056,482(-)	hypothetical protein, conserved	protein coding	Tb927.11.15300	
Tb927.11.15310	Tb927_11_v5.1:4,056,773..4,059,355(-)	hypothetical protein, conserved	protein coding	Tb927.11.15310	
Tb927.11.15320	Tb927_11_v5.1:4,059,787..4,062,637(-)	hypothetical protein	protein coding	Tb927.11.15320	
Tb927.11.15330	Tb927_11_v5.1:4,063,355..4,067,412(-)	phosphatidylinositol 3-kinase catalytic subunit, putative	protein coding	Tb927.11.15330	
Tb927.11.15340	Tb927_11_v5.1:4,067,845..4,069,874(-)	hypothetical protein, conserved	protein coding	Tb927.11.15340	
Tb927.11.15350	Tb927_11_v5.1:4,070,018..4,071,112(-)	RNA-binding protein, putative	protein coding	Tb927.11.15350	
Tb927.11.15360	Tb927_11_v5.1:4,071,234..4,072,145(-)	hypothetical protein, conserved	protein coding	Tb927.11.15360	
Tb927.11.15370	Tb927_11_v5.1:4,072,262..4,076,775(-)	Importin subunit beta-4, putative	protein coding	Tb927.11.15370	
Tb927.11.15390	Tb927_11_v5.1:4,087,464..4,088,650(-)	hypothetical protein	protein coding	Tb927.11.15390	
Tb927.11.1540	Tb927_11_v5.1:482,487..484,808(-)	isovaleryl-CoA dehydrogenase	protein coding	Tb927.11.1540	
Tb927.11.15400	Tb927_11_v5.1:4,089,241..4,092,914(-)	synaptobrevin, putative	protein coding	Tb927.11.15400	
Tb927.11.15410	Tb927_11_v5.1:4,094,013..4,095,165(-)	hypothetical protein, conserved	protein coding	Tb927.11.15410	
Tb927.11.15420	Tb927_11_v5.1:4,095,291..4,096,258(-)	eukaryotic translation initiation factor 3 subunit k	protein coding	Tb927.11.15420	
Tb927.11.15430	Tb927_11_v5.1:4,097,248..4,100,253(-)	U5 small nuclear ribonucleoprotein component, putative	protein coding	Tb927.11.15430	
Tb927.11.15440	Tb927_11_v5.1:4,100,399..4,101,261(-)	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative	protein coding	Tb927.11.15440	
Tb927.11.15460	Tb927_11_v5.1:4,108,809..4,111,656(-)	ATP-dependent DEAD/H RNA helicase, putative	protein coding	Tb927.11.15460	
Tb927.11.15470	Tb927_11_v5.1:4,111,938..4,114,062(-)	methionyl-tRNA formyltransferase	protein coding	Tb927.11.15470	
Tb927.11.15480	Tb927_11_v5.1:4,114,176..4,115,178(-)	heat shock protein Hsp20, putative	protein coding	Tb927.11.15480	
Tb927.11.15490	Tb927_11_v5.1:4,115,407..4,117,704(-)	Tb-291 membrane associated protein, putative	protein coding	Tb927.11.15490	
Tb927.11.1550	Tb927_11_v5.1:485,198..486,797(-)	XRN 5'-3' exonuclease N-terminus, putative	protein coding	Tb927.11.1550	
Tb927.11.15500	Tb927_11_v5.1:4,118,101..4,119,040(-)	LSU ribosomal protein, mitochondrial, putative	protein coding	Tb927.11.15500	
Tb927.11.15510	Tb927_11_v5.1:4,119,283..4,120,610(-)	hypothetical protein, conserved	protein coding	Tb927.11.15510	
Tb927.11.15520	Tb927_11_v5.1:4,120,912..4,123,275(-)	hypothetical protein, conserved	protein coding	Tb927.11.15520	
Tb927.11.15530	Tb927_11_v5.1:4,123,986..4,125,780(-)	C-14 sterol reductase, putative	protein coding	Tb927.11.15530	
Tb927.11.15540	Tb927_11_v5.1:4,126,064..4,127,989(-)	hypothetical protein, conserved	protein coding	Tb927.11.15540	
Tb927.11.15550	Tb927_11_v5.1:4,126,688..4,129,850(-)	NADH-cytochrome b5 reductase, putative	protein coding	Tb927.11.15550	
Tb927.11.15560	Tb927_11_v5.1:4,130,449..4,132,180(-)	Nucleoporin NUP53a	protein coding	Tb927.11.15560	
Tb927.11.15580	Tb927_11_v5.1:4,134,517..4,135,916(-)	TFIIF-like transcription factor subunit 2	protein coding	Tb927.11.15580	
Tb927.11.15590	Tb927_11_v5.1:4,136,223..4,137,148(-)	hypothetical protein, conserved	protein coding	Tb927.11.15590	
Tb927.11.1560	Tb927_11_v5.1:487,897..489,139(-)	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative	protein coding	Tb927.11.1560	
Tb927.11.15600	Tb927_11_v5.1:4,137,266..4,139,826(-)	histone deacetylase 2	protein coding	Tb927.11.15600	
Tb927.11.15610	Tb927_11_v5.1:4,139,315..4,143,482(-)	hypothetical protein, conserved	protein coding	Tb927.11.15610	
Tb927.11.15620	Tb927_11_v5.1:4,143,599..4,145,734(-)	hypothetical protein, conserved	protein coding	Tb927.11.15620	
Tb927.11.15630	Tb927_11_v5.1:4,146,051..4,147,246(-)	NOL1/NOP2/sun family, putative	protein coding	Tb927.11.15630	
Tb927.11.15640	Tb927_11_v5.1:4,147,472..4,149,193(-)	mitochondrial RNA binding complex 1 subunit	protein coding	Tb927.11.15640	
Tb927.11.15650	Tb927_11_v5.1:4,148,929..4,150,610(-)	terminal uridylyltransferase 4	protein coding	Tb927.11.15650	
Tb927.11.15660	Tb927_11_v5.1:4,150,718..4,152,730(-)	hypothetical protein, conserved	protein coding	Tb927.11.15660	
Tb927.11.15680	Tb927_11_v5.1:4,154,179..4,154,818(-)	hypothetical protein, conserved	protein coding	Tb927.11.15680	
Tb927.11.15690	Tb927_11_v5.1:4,154,767..4,158,276(-)	U5 snRNP-associated 102 kDa protein, putative	protein coding	Tb927.11.15690	
Tb927.11.1570	Tb927_11_v5.1:489,072..491,603(-)	hypothetical protein, conserved	protein coding	Tb927.11.1570	
Tb927.11.15700	Tb927_11_v5.1:4,158,442..4,159,220(-)	hypothetical protein, conserved	protein coding	Tb927.11.15700	
Tb927.11.15710	Tb927_11_v5.1:4,159,466..4,161,175(-)	mediator of rna polymerase ii transcription subunit 1	protein coding	Tb927.11.15710	
Tb927.11.15730	Tb927_11_v5.1:4,164,157..4,166,534(-)	cyclic nucleotide-binding domain containing protein, putative	protein coding	Tb927.11.15730	
Tb927.11.15740	Tb927_11_v5.1:4,166,652..4,168,838(-)	hypothetical protein, conserved	protein coding	Tb927.11.15740	
Tb927.11.15750	Tb927_11_v5.1:4,169,058..4,173,374(-)	AMP deaminase, putative	protein coding	Tb927.11.15750	
Tb927.11.15760	Tb927_11_v5.1:4,173,544..4,175,009(-)	GPI transamidase subunit Tta1	protein coding	Tb927.11.15760	
Tb927.11.15770	Tb927_11_v5.1:4,175,155..4,177,024(-)	hypothetical protein, conserved	protein coding	Tb927.11.15770	
Tb927.11.15780	Tb927_11_v5.1:4,177,904..4,178,317(-)	hypothetical protein, conserved	protein coding	Tb927.11.15780	
Tb927.11.15790	Tb927_11_v5.1:4,179,122..4,180,572(-)	hypothetical protein, conserved	protein coding	Tb927.11.15790	
Tb927.11.1580	Tb927_11_v5.1:492,012..495,688(-)	hypothetical protein, conserved	protein coding	Tb927.11.1580	
Tb927.11.15800	Tb927_11_v5.1:4,180,878..4,184,168(-)	Cytokinesis initiation factor 1	protein coding	Tb927.11.15800	
Tb927.11.15810	Tb927_11_v5.1:4,184,763..4,185,851(-)	NADH-ubiquinone oxidoreductase B22 subunit	protein coding	Tb927.11.15810	
Tb927.11.15820	Tb927_11_v5.1:4,186,112..4,187,706(-)	iron superoxide dismutase C, mitochondrial	protein coding	Tb927.11.15820	
Tb927.11.15830	Tb927_11_v5.1:4,187,883..4,193,047(-)	RNA methyltransferase, putative	protein coding	Tb927.11.15830	
Tb927.11.15840	Tb927_11_v5.1:4,194,125..4,196,461(-)	L-Lysine transport protein, putative	protein coding	Tb927.11.15840	
Tb927.11.15850	Tb927_11_v5.1:4,196,613..4,199,110(-)	kinteoplast poly(A) polymerase complex 1 subunit	protein coding	Tb927.11.15850	
Tb927.11.15870	Tb927_11_v5.1:4,203,216..4,205,718(-)	hypothetical protein, conserved	protein coding	Tb927.11.15870	
Tb927.11.15880	Tb927_11_v5.1:4,205,911..4,206,400(-)	60S ribosomal protein L27, putative	protein coding	Tb927.11.15880	
Tb927.11.15890	Tb927_11_v5.1:4,206,699..4,209,665(-)	hypothetical protein, conserved	protein coding	Tb927.11.15890	
Tb927.11.1590	Tb927_11_v5.1:496,049..497,002(-)	hypothetical protein, conserved	protein coding	Tb927.11.1590	
Tb927.11.15920	Tb927_11_v5.1:4,212,854..4,213,423(-)	glutathione peroxidase, putative	protein coding	Tb927.11.15920	
Tb927.11.15930	Tb927_11_v5.1:4,213,806..4,214,349(-)	Sybindin-like family, putative	protein coding	Tb927.11.15930	
Tb927.11.15940	Tb927_11_v5.1:4,214,799..4,217,807(-)	hypothetical protein, conserved	protein coding	Tb927.11.15940	
Tb927.11.15970	Tb927_11_v5.1:4,225,823..4,229,661(-)	Guanine nucleotide exchange factor in Golgi transport N-terminal/Sec7 domain containing protein, putative	protein coding	Tb927.11.15970	
Tb927.11.15980	Tb927_11_v5.1:4,229,980..4,232,957(-)	hypothetical protein, conserved	protein coding	Tb927.11.15980	
Tb927.11.15990	Tb927_11_v5.1:4,233,095..4,236,926(-)	Nucleoporin NUP109	protein coding	Tb927.11.15990	
Tb927.11.160	Tb927_11_v5.1:37,006..37,661(-)	hypothetical protein, conserved	protein coding	Tb927.11.160	
Tb927.11.1600	Tb927_11_v5.1:497,235..498,306(-)	tatD related deoxyribonuclease, putative	protein coding	Tb927.11.1600	
Tb927.11.16000	Tb927_11_v5.1:4,237,044..4,238,265(-)	exonuclease, putative	protein coding	Tb927.11.16000	
Tb927.11.16010	Tb927_11_v5.1:4,238,549..4,243,061(-)	hypothetical protein, conserved	protein coding	Tb927.11.16010	
Tb927.11.16020	Tb927_11_v5.1:4,243,200..4,244,825(-)	RNA-binding protein, putative	protein coding	Tb927.11.16020	
Tb927.11.16030	Tb927_11_v5.1:4,245,537..4,246,925(-)	proteasome regulatory non-ATP-ase subunit 7	protein coding	Tb927.11.16030	
Tb927.11.16040	Tb927_11_v5.1:4,247,046..4,249,205(-)	prefoldin subunit, putative	protein coding	Tb927.11.16040	
Tb927.11.16050	Tb927_11_v5.1:4,249,305..4,251,290(-)	CS domain/TPR repeat, putative	protein coding	Tb927.11.16050	
Tb927.11.16060	Tb927_11_v5.1:4,252,014..4,253,667(-)	zinc finger protein, putative	protein coding	Tb927.11.16060	
Tb927.11.16070	Tb927_11_v5.1:4,253,881..4,255,214(-)	TFIIH basal transcription factor subunit	protein coding	Tb927.11.16070	
Tb927.11.16080	Tb927_11_v5.1:4,255,347..4,256,741(-)	Soluble NSF attachment protein, SNAP, putative	protein coding	Tb927.11.16080	
Tb927.11.16090	Tb927_11_v5.1:4,256,887..4,260,215(-)	Outer dynein arm docking complex protein 2, putative	protein coding	Tb927.11.16090	
Tb927.11.1610	Tb927_11_v5.1:498,463..501,572(-)	Exocyst complex component Sec6, putative	protein coding	Tb927.11.1610	
Tb927.11.16100	Tb927_11_v5.1:4,260,353..4,264,865(-)	ubiquitin carboxyl-terminal hydrolase, putative	protein coding	Tb927.11.16100	
Tb927.11.16110	Tb927_11_v5.1:4,264,973..4,267,318(-)	integrin alpha chain protein, putative	protein coding	Tb927.11.16110	
Tb927.11.16120	Tb927_11_v5.1:4,269,603..4,271,580(-)	hypothetical protein, conserved	protein coding	Tb927.11.16120	
Tb927.11.16130	Tb927_11_v5.1:4,271,719..4,272,509(-)	nucleoside diphosphate kinase	protein coding	Tb927.11.16130	
Tb927.11.16140	Tb927_11_v5.1:4,272,644..4,275,361(-)	DNA replication licensing factor MCM7	protein coding	Tb927.11.16140	
Tb927.11.16150	Tb927_11_v5.1:4,277,326..4,277,883(-)	tubulin binding cofactor A, putative	protein coding	Tb927.11.16150	
Tb927.11.16160	Tb927_11_v5.1:4,278,014..4,278,637(-)	ATP binding protein-like protein	protein coding	Tb927.11.16160	
Tb927.11.16170	Tb927_11_v5.1:4,278,731..4,279,487(-)	hypothetical protein, conserved	protein coding	Tb927.11.16170	
Tb927.11.1620	Tb927_11_v5.1:501,723..502,881(-)	hypothetical protein, conserved	protein coding	Tb927.11.1620	
Tb927.11.16200	Tb927_11_v5.1:4,288,421..4,289,832(-)	cytoskeleton-associated protein 17	protein coding	Tb927.11.16200	
Tb927.11.16210	Tb927_11_v5.1:4,290,832..4,293,061(-)	cAMP response protein 1, putative	protein coding	Tb927.11.16210	
Tb927.11.16220	Tb927_11_v5.1:4,293,442..4,294,078(-)	Cytochrome b-c1 complex subunit, putative	protein coding	Tb927.11.16220	
Tb927.11.16230	Tb927_11_v5.1:4,294,291..4,297,287(-)	hypothetical protein, conserved	protein coding	Tb927.11.16230	
Tb927.11.16240	Tb927_11_v5.1:4,297,800..4,301,210(-)	RING-variant domain containing protein, putative	protein coding	Tb927.11.16240	
Tb927.11.16250	Tb927_11_v5.1:4,301,330..4,303,262(-)	PIN domain containing protein, putative	protein coding	Tb927.11.16250	
Tb927.11.16260	Tb927_11_v5.1:4,303,952..4,317,233(-)	SPRY domain/HECT-domain (ubiquitin-transferase), putative	protein coding	Tb927.11.16260	
Tb927.11.16270	Tb927_11_v5.1:4,316,590..4,320,081(-)	TFIIH basal transcription factor complex helicase XPB subunit, putative	protein coding	Tb927.11.16270	
Tb927.11.16280	Tb927_11_v5.1:4,320,242..4,321,144(-)	60S ribosomal protein L8, putative	protein coding	Tb927.11.16280	
Tb927.11.16290	Tb927_11_v5.1:4,321,567..4,322,703(-)	AUT2/APG4/ATG4 cysteine peptidase, putative	protein coding	Tb927.11.16290	
Tb927.11.1630	Tb927_11_v5.1:503,188..505,800(-)	LSU ribosomal protein, mitochondrial, putative	protein coding	Tb927.11.1630	
Tb927.11.16300	Tb927_11_v5.1:4,322,842..4,324,160(-)	hypothetical protein, conserved	protein coding	Tb927.11.16300	
Tb927.11.16310	Tb927_11_v5.1:4,324,460..4,328,766(-)	Unconventional myosin	protein coding	Tb927.11.16310	
Tb927.11.16320	Tb927_11_v5.1:4,328,895..4,329,957(-)	hypothetical protein, conserved	protein coding	Tb927.11.16320	
Tb927.11.16330	Tb927_11_v5.1:4,330,421..4,333,276(-)	hypothetical protein, conserved	protein coding	Tb927.11.16330	
Tb927.11.16340	Tb927_11_v5.1:4,334,423..4,337,959(-)	Importin-beta N-terminal domain/HEAT-like repeat, putative	protein coding	Tb927.11.16340	
Tb927.11.16350	Tb927_11_v5.1:4,339,324..4,339,887(-)	hypothetical protein, conserved	protein coding	Tb927.11.16350	
Tb927.11.16360	Tb927_11_v5.1:4,342,633..4,344,955(-)	hypothetical protein, conserved	protein coding	Tb927.11.16360	
Tb927.11.16370	Tb927_11_v5.1:4,345,069..4,347,320(-)	SHQ1 protein, putative	protein coding	Tb927.11.16370	
Tb927.11.16380	Tb927_11_v5.1:4,347,490..4,348,707(-)	TPR repeat, putative	protein coding	Tb927.11.16380	
Tb927.11.16390	Tb927_11_v5.1:4,348,675..4,350,621(-)	cyclin dependent kinases regulatory subunit, putative	protein coding	Tb927.11.16390	
Tb927.11.1640	Tb927_11_v5.1:506,022..507,697(-)	Stumpy formation signalling pathway protein, putative	protein coding	Tb927.11.1640	
Tb927.11.16400	Tb927_11_v5.1:4,351,100..4,352,738(-)	kinetoplast-associated protein 3, putative	protein coding	Tb927.11.16400	
Tb927.11.16410	Tb927_11_v5.1:4,353,248..4,354,867(-)	enolase, putative	protein coding	Tb927.11.16410	
Tb927.11.16420	Tb927_11_v5.1:4,355,639..4,356,680(-)	Methyltransferase TYW3, putative	protein coding	Tb927.11.16420	
Tb927.11.16430	Tb927_11_v5.1:4,356,967..4,357,454(-)	18 kDa ER-associated protein	protein coding	Tb927.11.16430	
Tb927.11.16440	Tb927_11_v5.1:4,357,794..4,358,510(-)	Transmembrane protein 18, putative	protein coding	Tb927.11.16440	
Tb927.11.16450	Tb927_11_v5.1:4,358,608..4,359,392(-)	hypothetical protein, conserved	protein coding	Tb927.11.16450	
Tb927.11.16460	Tb927_11_v5.1:4,359,509..4,362,031(-)	hypothetical protein, conserved	protein coding	Tb927.11.16460	
Tb927.11.16470	Tb927_11_v5.1:4,364,475..4,368,962(-)	SUMO-interacting motif-containing protein	protein coding	Tb927.11.16470	
Tb927.11.16480	Tb927_11_v5.1:4,368,002..4,370,677(-)	enoyl-CoA hydratase/isomerase family protein, putative	protein coding	Tb927.11.16480	
Tb927.11.16490	Tb927_11_v5.1:4,371,094..4,372,713(-)	Methyltransferase-associated protein	protein coding	Tb927.11.16490	
Tb927.11.1650	Tb927_11_v5.1:507,831..508,905(-)	hypothetical protein, conserved	protein coding	Tb927.11.1650	
Tb927.11.16500	Tb927_11_v5.1:4,372,851..4,374,431(-)	hypothetical protein, conserved	protein coding	Tb927.11.16500	
Tb927.11.16510	Tb927_11_v5.1:4,375,492..4,376,254(-)	hypothetical protein, conserved	protein coding	Tb927.11.16510	
Tb927.11.16520	Tb927_11_v5.1:4,376,407..4,377,392(-)	hypothetical protein, conserved	protein coding	Tb927.11.16520	
Tb927.11.16530	Tb927_11_v5.1:4,377,515..4,381,145(-)	hypothetical protein, conserved	protein coding	Tb927.11.16530	
Tb927.11.16540	Tb927_11_v5.1:4,381,275..4,382,146(-)	Roadblock/LC7 domain containing protein, putative	protein coding	Tb927.11.16540	
Tb927.11.16550	Tb927_11_v5.1:4,384,051..4,397,151(-)	Zinc finger protein, C3H1 type-like	protein coding	Tb927.11.16550	
Tb927.11.16560	Tb927_11_v5.1:4,397,705..4,400,678(-)	Nucleotide sugar transporter 2	protein coding	Tb927.11.16560	
Tb927.11.16570	Tb927_11_v5.1:4,400,912..4,402,651(-)	ATP-dependent DEAD/H RNA helicase, putative	protein coding	Tb927.11.16570	
Tb927.11.16580	Tb927_11_v5.1:4,403,276..4,405,369(-)	hypothetical protein, conserved	protein coding	Tb927.11.16580	
Tb927.11.16590	Tb927_11_v5.1:4,405,503..4,407,218(-)	RNA-binding protein, putative	protein coding	Tb927.11.16590	
Tb927.11.1660	Tb927_11_v5.1:509,049..511,365(-)	vesicular transport protein (CDC48 homologue), putative	protein coding	Tb927.11.1660	
Tb927.11.16600	Tb927_11_v5.1:4,407,155..4,408,411(-)	exosome-associated protein 2	protein coding	Tb927.11.16600	
Tb927.11.16610	Tb927_11_v5.1:4,408,608..4,410,841(-)	zinc-finger of a C2HC-type, putative	protein coding	Tb927.11.16610	
Tb927.11.16620	Tb927_11_v5.1:4,412,871..4,414,704(-)	hypothetical protein, conserved	protein coding	Tb927.11.16620	
Tb927.11.16630	Tb927_11_v5.1:4,415,264..4,417,646(-)	major facilitator superfamily, putative	protein coding	Tb927.11.16630	
Tb927.11.16640	Tb927_11_v5.1:4,418,692..4,421,079(-)	Uncharacterised protein family UPF0564, putative	protein coding	Tb927.11.16640	
Tb927.11.16650	Tb927_11_v5.1:4,421,207..4,424,303(-)	hypothetical protein, conserved	protein coding	Tb927.11.16650	
Tb927.11.16660	Tb927_11_v5.1:4,424,433..4,432,687(-)	Dopey, N-terminal, putative	protein coding	Tb927.11.16660	
Tb927.11.16670	Tb927_11_v5.1:4,432,818..4,435,061(-)	hypothetical protein, conserved	protein coding	Tb927.11.16670	
Tb927.11.16680	Tb927_11_v5.1:4,435,186..4,437,334(-)	tRNA pseudouridine synthase D (TruD), putative	protein coding	Tb927.11.16680	
Tb927.11.16690	Tb927_11_v5.1:4,437,519..4,440,515(-)	Voltage-gated Chloride channel Like 3	protein coding	Tb927.11.16690	
Tb927.11.1670	Tb927_11_v5.1:512,470..513,808(-)	cysteine desulfurase	protein coding	Tb927.11.1670	
Tb927.11.16700	Tb927_11_v5.1:4,441,632..4,444,577(-)	hypothetical protein, conserved	protein coding	Tb927.11.16700	
Tb927.11.16710	Tb927_11_v5.1:4,444,816..4,445,626(-)	hypothetical protein, conserved	protein coding	Tb927.11.16710	
Tb927.11.16720	Tb927_11_v5.1:4,446,942..4,451,015(-)	mitotic cyclin 6	protein coding	Tb927.11.16720	
Tb927.11.16730	Tb927_11_v5.1:4,451,979..4,454,198(-)	dihydrolipoyl dehydrogenase	protein coding	Tb927.11.16730	
Tb927.11.16740	Tb927_11_v5.1:4,454,332..4,456,213(-)	chaperone protein DnaJ, putative	protein coding	Tb927.11.16740	
Tb927.11.16750	Tb927_11_v5.1:4,456,600..4,457,619(-)	hypothetical protein, conserved	protein coding	Tb927.11.16750	
Tb927.11.16760	Tb927_11_v5.1:4,458,569..4,460,256(-)	T-complex protein 1, alpha subunit, putative	protein coding	Tb927.11.16760	
Tb927.11.16770	Tb927_11_v5.1:4,461,862..4,463,017(-)	glucosamine-6-phosphate isomerase, putative	protein coding	Tb927.11.16770	
Tb927.11.16790	Tb927_11_v5.1:4,467,140..4,470,268(-)	mitogen-activated protein kinase	protein coding	Tb927.11.16790	
Tb927.11.1680	Tb927_11_v5.1:513,967..517,044(-)	vesicular-fusion protein SEC18, putative	protein coding	Tb927.11.1680	
Tb927.11.16800	Tb927_11_v5.1:4,470,512..4,473,254(-)	hypothetical protein, conserved	protein coding	Tb927.11.16800	
Tb927.11.16810	Tb927_11_v5.1:4,473,894..4,476,442(-)	dynein light intermediate chain D1bLIC, putative	protein coding	Tb927.11.16810	
Tb927.11.16820	Tb927_11_v5.1:4,475,931..4,482,905(-)	hypothetical protein, conserved	protein coding	Tb927.11.16820	
Tb927.11.16830	Tb927_11_v5.1:4,481,848..4,484,803(-)	Rab-like 5, small G protein	protein coding	Tb927.11.16830	
Tb927.11.16840	Tb927_11_v5.1:4,485,205..4,488,628(-)	hypothetical protein, conserved	protein coding	Tb927.11.16840	
Tb927.11.16850	Tb927_11_v5.1:4,488,835..4,491,497(-)	Golgi transport complex subunit 5, putative	protein coding	Tb927.11.16850	
Tb927.11.16860	Tb927_11_v5.1:4,491,758..4,493,489(-)	Guide RNA binding complex protein 3	protein coding	Tb927.11.16860	
Tb927.11.16870	Tb927_11_v5.1:4,494,087..4,494,804(-)	NADH-ubiquinone oxidoreductase B8 subunit	protein coding	Tb927.11.16870	
Tb927.11.16880	Tb927_11_v5.1:4,494,906..4,497,076(-)	leucine-rich repeat protein (LRRP), putative	protein coding	Tb927.11.16880	
Tb927.11.1690	Tb927_11_v5.1:517,225..518,022(-)	Emopamil binding protein, putative	protein coding	Tb927.11.1690	
Tb927.11.16910	Tb927_11_v5.1:4,506,960..4,509,698(-)	Serine hydrolase (FSH1)/RWD domain/50S ribosome-binding GTPase/GTPase of unknown function C-terminal, putative	protein coding	Tb927.11.16910	
Tb927.11.16920	Tb927_11_v5.1:4,511,295..4,514,071(-)	VSG exclusion protein 1	protein coding	Tb927.11.16920	
Tb927.11.16930	Tb927_11_v5.1:4,514,556..4,516,762(-)	ABC transporter of the mitochondrion, putative	protein coding	Tb927.11.16930	
Tb927.11.16940	Tb927_11_v5.1:4,517,575..4,519,914(-)	MIZ/SP-RING zinc finger, putative	protein coding	Tb927.11.16940	
Tb927.11.16950	Tb927_11_v5.1:4,519,944..4,520,422(-)	hypothetical protein, conserved	protein coding	Tb927.11.16950	
Tb927.11.16960	Tb927_11_v5.1:4,520,695..4,524,348(-)	SUMO-interacting motif-containing protein	protein coding	Tb927.11.16960	
Tb927.11.16970	Tb927_11_v5.1:4,524,454..4,526,930(-)	protein phosphatase 4, putative	protein coding	Tb927.11.16970	
Tb927.11.16980	Tb927_11_v5.1:4,527,500..4,528,662(-)	chaperone protein DnaJ, putative	protein coding	Tb927.11.16980	
Tb927.11.16990	Tb927_11_v5.1:4,528,567..4,531,050(-)	50S ribosome-binding GTPase, putative	protein coding	Tb927.11.16990	
Tb927.11.170	Tb927_11_v5.1:39,433..40,945(-)	hypothetical protein, conserved	protein coding	Tb927.11.170	
Tb927.11.1700	Tb927_11_v5.1:518,497..520,516(-)	hypothetical protein, conserved	protein coding	Tb927.11.1700	
Tb927.11.17000	Tb927_11_v5.1:4,531,326..4,535,361(-)	AIR9-like protein	protein coding	Tb927.11.17000	
Tb927.11.17010	Tb927_11_v5.1:4,536,824..4,537,341(-)	Rab5-interacting protein (Rab5ip), putative	protein coding	Tb927.11.17010	
Tb927.11.17020	Tb927_11_v5.1:4,538,812..4,541,418(-)	hypothetical protein, conserved	protein coding	Tb927.11.17020	
Tb927.11.1710	Tb927_11_v5.1:520,666..521,601(-)	guide RNA-binding protein of 21 kDa	protein coding	Tb927.11.1710	
Tb927.11.1720	Tb927_11_v5.1:522,050..523,234(-)	hypothetical protein, conserved	protein coding	Tb927.11.1720	
Tb927.11.1730	Tb927_11_v5.1:524,597..525,535(-)	hypothetical protein	protein coding	Tb927.11.1730	
Tb927.11.1740	Tb927_11_v5.1:526,509..529,357(-)	intraflagellar transport protein 88	protein coding	Tb927.11.1740	
Tb927.11.1750	Tb927_11_v5.1:529,550..530,799(-)	hypothetical protein, conserved	protein coding	Tb927.11.1750	
Tb927.11.1760	Tb927_11_v5.1:531,303..533,545(-)	JmjC domain, hydroxylase, putative	protein coding	Tb927.11.1760	
Tb927.11.1770	Tb927_11_v5.1:533,682..535,004(-)	hypothetical protein, conserved	protein coding	Tb927.11.1770	
Tb927.11.1780	Tb927_11_v5.1:534,933..537,069(-)	protein phosphatase 2C, putative	protein coding	Tb927.11.1780	
Tb927.11.180	Tb927_11_v5.1:41,368..42,258(-)	electron transfer flavoprotein, putative	protein coding	Tb927.11.180	
Tb927.11.1810	Tb927_11_v5.1:539,408..540,422(-)	Ring finger domain containing protein, putative	protein coding	Tb927.11.1810	
Tb927.11.1820	Tb927_11_v5.1:540,935..542,879(-)	translation initiation factor eIF2B delta subunit, putative	protein coding	Tb927.11.1820	
Tb927.11.1830	Tb927_11_v5.1:544,388..546,259(-)	hypothetical protein, conserved	protein coding	Tb927.11.1830	
Tb927.11.1840	Tb927_11_v5.1:546,408..549,592(-)	hypothetical protein, conserved	protein coding	Tb927.11.1840	
Tb927.11.1850	Tb927_11_v5.1:549,724..551,570(-)	hypothetical protein, conserved	protein coding	Tb927.11.1850	
Tb927.11.1890	Tb927_11_v5.1:554,639..555,844(-)	Serine-threonine kinase receptor-associated protein, putative	protein coding	Tb927.11.1890	
Tb927.11.190	Tb927_11_v5.1:42,534..45,079(-)	elongation factor, putative	protein coding	Tb927.11.190	
Tb927.11.1900	Tb927_11_v5.1:555,945..557,920(-)	T-complex protein 1, beta subunit, putative	protein coding	Tb927.11.1900	
Tb927.11.1910	Tb927_11_v5.1:558,036..559,406(-)	cation transporter protein, putative	protein coding	Tb927.11.1910	
Tb927.11.1920	Tb927_11_v5.1:560,439..563,885(-)	hypothetical protein	protein coding	Tb927.11.1920	
Tb927.11.1940	Tb927_11_v5.1:569,263..570,679(+)	hypothetical protein, conserved	protein coding	Tb927.11.1940	
